disease,disease_id,gene_set,cell_type,cell_type_class,marker_source,overlap,gene_count,background_count,effect_size,p_value,genes,fdr
Alzheimer disease,alzheimer,broad,eccentric medium spiny neuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,broad,endothelial cell,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,broad,lower rhombic lip,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,broad,midbrain-derived inhibitory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,broad,miscellaneous,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,broad,oligodendrocyte precursor cell,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,broad,splatter,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,186,0.0,1.0,,1.0
Alzheimer disease,alzheimer,broad,thalamic excitatory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,central nervous system macrophage,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,5,25,200,15.632,1.4068166111817284e-05,INPP5D;PLCG2;RASGEF1C;RIN3;TREM2,0.00047831764780178766
Alzheimer disease,alzheimer,stringent,astrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,25,200,6.2528,0.040295016574549807,ABCA1;CLU,0.6850152817673467
Alzheimer disease,alzheimer,stringent,choroid plexus epithelial cell,Ciliated cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,25,200,3.1264,0.2754246185506009,SLC24A4,0.936443703072043
Alzheimer disease,alzheimer,stringent,ependymal cell,Ciliated cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,25,200,3.1264,0.2754246185506009,CLU,0.936443703072043
Alzheimer disease,alzheimer,stringent,hippocampal CA1-3,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,25,200,3.1264,0.2754246185506009,PTK2B,0.936443703072043
Alzheimer disease,alzheimer,stringent,hippocampal CA4,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,25,200,3.1264,0.2754246185506009,PTK2B,0.936443703072043
Alzheimer disease,alzheimer,stringent,hippocampal dentate gyrus,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,25,200,3.1264,0.2754246185506009,PTK2B,0.936443703072043
Alzheimer disease,alzheimer,stringent,leukocyte,Blood and immune cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,25,200,3.1264,0.2754246185506009,RIN3,0.936443703072043
Alzheimer disease,alzheimer,stringent,medium spiny neuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,25,200,3.1264,0.2754246185506009,ACE,0.936443703072043
Alzheimer disease,alzheimer,stringent,upper rhombic lip,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,25,200,3.1264,0.2754246185506009,RASGEF1C,0.936443703072043
Alzheimer disease,alzheimer,stringent,Bergmann glia,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,CGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,LAMP5-LHX6 and Chandelier,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,MGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,amygdala excitatory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,cerebellar inhibitory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,committed oligodendrocyte precursor,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,deep-layer corticothalamic and 6b,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,deep-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,deep-layer near-projecting,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,eccentric medium spiny neuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,endothelial cell,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,fibroblast,Mesenchymal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,lower rhombic lip,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,mammillary body,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,midbrain-derived inhibitory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,miscellaneous,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,oligodendrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,oligodendrocyte precursor cell,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,pericyte,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,splatter,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,186,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,thalamic excitatory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,upper-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,stringent,vascular associated smooth muscle cell,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,25,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,weighted,central nervous system macrophage,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,9,93,200,7.563870967741935,2.9196477357055e-06,APOC1;ARHGAP45;INPP5D;MS4A4A;PLCG2;RASGEF1C;RIN3;TREM2;TREML1,9.926802301398701e-05
Alzheimer disease,alzheimer,weighted,astrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,5,93,200,4.202150537634409,0.006829704514738285,ABCA1;APOC1;APOE;CLU;OPLAH,0.11610497675055084
Alzheimer disease,alzheimer,weighted,ependymal cell,Ciliated cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,3,93,200,2.521290322580645,0.11666249530083189,CLU;DOC2A;RNF43,0.7933049680456569
Alzheimer disease,alzheimer,weighted,upper rhombic lip,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,3,93,200,2.521290322580645,0.11666249530083189,HS3ST1;RASGEF1C;RNF43,0.7933049680456569
Alzheimer disease,alzheimer,weighted,vascular associated smooth muscle cell,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,3,93,200,2.521290322580645,0.11666249530083189,ADAMTS1;APOE;BCAM,0.7933049680456569
Alzheimer disease,alzheimer,weighted,CGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,93,200,1.6808602150537635,0.3343389630818615,CCNH;EGFR,1.0
Alzheimer disease,alzheimer,weighted,hippocampal dentate gyrus,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,93,200,1.6808602150537635,0.3343389630818615,PTK2B;SLC27A2,1.0
Alzheimer disease,alzheimer,weighted,leukocyte,Blood and immune cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,93,200,1.6808602150537635,0.3343389630818615,ARHGAP45;RIN3,1.0
Alzheimer disease,alzheimer,weighted,Bergmann glia,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,APOE,1.0
Alzheimer disease,alzheimer,weighted,choroid plexus epithelial cell,Ciliated cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,SLC24A4,1.0
Alzheimer disease,alzheimer,weighted,deep-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,DOC2A,1.0
Alzheimer disease,alzheimer,weighted,deep-layer near-projecting,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,EPHA1,1.0
Alzheimer disease,alzheimer,weighted,fibroblast,Mesenchymal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,PROSER2,1.0
Alzheimer disease,alzheimer,weighted,hippocampal CA1-3,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,PTK2B,1.0
Alzheimer disease,alzheimer,weighted,hippocampal CA4,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,PTK2B,1.0
Alzheimer disease,alzheimer,weighted,mammillary body,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,HS3ST1,1.0
Alzheimer disease,alzheimer,weighted,medium spiny neuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,ACE,1.0
Alzheimer disease,alzheimer,weighted,oligodendrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,STMN4,1.0
Alzheimer disease,alzheimer,weighted,pericyte,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,BCAM,1.0
Alzheimer disease,alzheimer,weighted,upper-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,93,200,0.8404301075268817,0.6991384706445423,DOC2A,1.0
