disease,disease_id,gene_set,cell_type,cell_type_class,marker_source,overlap,gene_count,background_count,effect_size,p_value,genes,fdr
Attention deficit-hyperactivity disorder,adhd,weighted,hippocampal CA4,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,3,31,200,7.563870967741935,0.007124432332552927,ARHGAP39;COL19A1;DCC,0.06055767482669988
Attention deficit-hyperactivity disorder,adhd,weighted,hippocampal dentate gyrus,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,3,31,200,7.563870967741935,0.007124432332552927,CDH8;COL19A1;VGLL3,0.06055767482669988
Attention deficit-hyperactivity disorder,adhd,weighted,splatter,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,31,186,5.4221297259798815,0.052268101214337136,COL19A1;TMEM200C,0.28870430962208815
Attention deficit-hyperactivity disorder,adhd,weighted,CGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,31,200,5.04258064516129,0.05943912256925344,L3MBTL4;TMEM200C,0.28870430962208815
Attention deficit-hyperactivity disorder,adhd,weighted,miscellaneous,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,31,200,5.04258064516129,0.05943912256925344,DCC;MEF2C,0.28870430962208815
Attention deficit-hyperactivity disorder,adhd,weighted,LAMP5-LHX6 and Chandelier,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,31,200,2.521290322580645,0.32938993453437826,MEF2C,0.5332979892461363
Attention deficit-hyperactivity disorder,adhd,weighted,MGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,31,200,2.521290322580645,0.32938993453437826,COL19A1,0.5332979892461363
Attention deficit-hyperactivity disorder,adhd,weighted,astrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,31,200,2.521290322580645,0.32938993453437826,GPT,0.5332979892461363
Attention deficit-hyperactivity disorder,adhd,weighted,committed oligodendrocyte precursor,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,31,200,2.521290322580645,0.32938993453437826,COL9A1,0.5332979892461363
Attention deficit-hyperactivity disorder,adhd,weighted,deep-layer corticothalamic and 6b,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,31,200,2.521290322580645,0.32938993453437826,COL19A1,0.5332979892461363
Attention deficit-hyperactivity disorder,adhd,weighted,deep-layer near-projecting,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,31,200,2.521290322580645,0.32938993453437826,CDH8,0.5332979892461363
Attention deficit-hyperactivity disorder,adhd,weighted,eccentric medium spiny neuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,31,200,2.521290322580645,0.32938993453437826,FOXP2,0.5332979892461363
Attention deficit-hyperactivity disorder,adhd,weighted,hippocampal CA1-3,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,31,200,2.521290322580645,0.32938993453437826,DUSP6,0.5332979892461363
Attention deficit-hyperactivity disorder,adhd,weighted,leukocyte,Blood and immune cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,31,200,2.521290322580645,0.32938993453437826,MDFIC,0.5332979892461363
Attention deficit-hyperactivity disorder,adhd,weighted,medium spiny neuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,31,200,2.521290322580645,0.32938993453437826,DCC,0.5332979892461363
Attention deficit-hyperactivity disorder,adhd,weighted,oligodendrocyte precursor cell,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,31,200,2.521290322580645,0.32938993453437826,COL9A1,0.5332979892461363
Attention deficit-hyperactivity disorder,adhd,weighted,thalamic excitatory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,31,200,2.521290322580645,0.32938993453437826,FOXP2,0.5332979892461363
Attention deficit-hyperactivity disorder,adhd,weighted,upper rhombic lip,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,31,200,2.521290322580645,0.32938993453437826,RUNX1T1,0.5332979892461363
Attention deficit-hyperactivity disorder,adhd,weighted,vascular associated smooth muscle cell,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,31,200,2.521290322580645,0.32938993453437826,VGLL3,0.5332979892461363
Attention deficit-hyperactivity disorder,adhd,weighted,Bergmann glia,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,31,200,0.0,1.0,,1.0
Attention deficit-hyperactivity disorder,adhd,weighted,amygdala excitatory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,31,200,0.0,1.0,,1.0
Attention deficit-hyperactivity disorder,adhd,weighted,central nervous system macrophage,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,31,200,0.0,1.0,,1.0
Attention deficit-hyperactivity disorder,adhd,weighted,cerebellar inhibitory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,31,200,0.0,1.0,,1.0
Attention deficit-hyperactivity disorder,adhd,weighted,deep-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,31,200,0.0,1.0,,1.0
Attention deficit-hyperactivity disorder,adhd,weighted,endothelial cell,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,31,200,0.0,1.0,,1.0
Attention deficit-hyperactivity disorder,adhd,weighted,ependymal cell,Ciliated cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,31,200,0.0,1.0,,1.0
Attention deficit-hyperactivity disorder,adhd,weighted,fibroblast,Mesenchymal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,31,200,0.0,1.0,,1.0
Attention deficit-hyperactivity disorder,adhd,weighted,lower rhombic lip,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,31,200,0.0,1.0,,1.0
Attention deficit-hyperactivity disorder,adhd,weighted,mammillary body,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,31,200,0.0,1.0,,1.0
Attention deficit-hyperactivity disorder,adhd,weighted,oligodendrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,31,200,0.0,1.0,,1.0
Attention deficit-hyperactivity disorder,adhd,weighted,pericyte,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,31,200,0.0,1.0,,1.0
Attention deficit-hyperactivity disorder,adhd,weighted,upper-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,31,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,LAMP5-LHX6 and Chandelier,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,3,80,200,2.9309999999999996,0.08301646830044883,ELFN1;RASGRF2;THSD7A,0.9408533074050867
Bipolar disorder,bipolar,broad,MGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,3,80,200,2.9309999999999996,0.08301646830044883,ELFN1;RASGRF2;RPS6KA2,0.9408533074050867
Bipolar disorder,bipolar,broad,thalamic excitatory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,3,80,200,2.9309999999999996,0.08301646830044883,CPNE7;LRTM2;RHOBTB1,0.9408533074050867
Bipolar disorder,bipolar,broad,splatter,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,80,186,2.1010752688172043,0.2463822243268024,ELFN1;THSD7A,1.0
Bipolar disorder,bipolar,broad,CGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,80,200,1.954,0.2729611486867165,ELFN1;THSD7A,1.0
Bipolar disorder,bipolar,broad,deep-layer near-projecting,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,80,200,1.954,0.2729611486867165,ADCY2;CPNE7,1.0
Bipolar disorder,bipolar,broad,upper-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,80,200,1.954,0.2729611486867165,KCNB1;KCNS1,1.0
Bipolar disorder,bipolar,broad,central nervous system macrophage,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,STAB1,1.0
Bipolar disorder,bipolar,broad,committed oligodendrocyte precursor,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,MYRF,1.0
Bipolar disorder,bipolar,broad,deep-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,CPNE7,1.0
Bipolar disorder,bipolar,broad,hippocampal CA4,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,MSRA,1.0
Bipolar disorder,bipolar,broad,mammillary body,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,ADCY2,1.0
Bipolar disorder,bipolar,broad,midbrain-derived inhibitory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,LRTM2,1.0
Bipolar disorder,bipolar,broad,miscellaneous,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,CPNE7,1.0
Bipolar disorder,bipolar,broad,oligodendrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,MYRF,1.0
Bipolar disorder,bipolar,broad,pericyte,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,NT5DC2,1.0
Bipolar disorder,bipolar,broad,upper rhombic lip,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,MSRA,1.0
Bipolar disorder,bipolar,broad,Bergmann glia,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,amygdala excitatory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,astrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,cerebellar inhibitory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,choroid plexus epithelial cell,Ciliated cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,deep-layer corticothalamic and 6b,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,eccentric medium spiny neuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,endothelial cell,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,ependymal cell,Ciliated cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,fibroblast,Mesenchymal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,hippocampal CA1-3,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,hippocampal dentate gyrus,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,leukocyte,Blood and immune cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,lower rhombic lip,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,medium spiny neuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,oligodendrocyte precursor cell,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,broad,vascular associated smooth muscle cell,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,splatter,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,20,186,4.202150537634409,0.2130157080828496,THSD7A,0.9654655137720216
Bipolar disorder,bipolar,stringent,CGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,20,200,3.908,0.22716835618165215,THSD7A,0.9654655137720216
Bipolar disorder,bipolar,stringent,LAMP5-LHX6 and Chandelier,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,20,200,3.908,0.22716835618165215,THSD7A,0.9654655137720216
Bipolar disorder,bipolar,stringent,deep-layer near-projecting,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,20,200,3.908,0.22716835618165215,ADCY2,0.9654655137720216
Bipolar disorder,bipolar,stringent,hippocampal CA4,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,20,200,3.908,0.22716835618165215,MSRA,0.9654655137720216
Bipolar disorder,bipolar,stringent,mammillary body,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,20,200,3.908,0.22716835618165215,ADCY2,0.9654655137720216
Bipolar disorder,bipolar,stringent,upper rhombic lip,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,20,200,3.908,0.22716835618165215,MSRA,0.9654655137720216
Bipolar disorder,bipolar,stringent,upper-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,20,200,3.908,0.22716835618165215,KCNB1,0.9654655137720216
Bipolar disorder,bipolar,stringent,Bergmann glia,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,MGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,amygdala excitatory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,astrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,central nervous system macrophage,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,cerebellar inhibitory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,choroid plexus epithelial cell,Ciliated cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,committed oligodendrocyte precursor,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,deep-layer corticothalamic and 6b,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,deep-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,eccentric medium spiny neuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,endothelial cell,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,ependymal cell,Ciliated cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,fibroblast,Mesenchymal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,hippocampal CA1-3,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,hippocampal dentate gyrus,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,leukocyte,Blood and immune cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,lower rhombic lip,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,medium spiny neuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,midbrain-derived inhibitory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,miscellaneous,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,oligodendrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,oligodendrocyte precursor cell,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,pericyte,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,thalamic excitatory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,stringent,vascular associated smooth muscle cell,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,20,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,weighted,LAMP5-LHX6 and Chandelier,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,3,80,200,2.9309999999999996,0.08301646830044883,ELFN1;RASGRF2;THSD7A,0.9408533074050867
Bipolar disorder,bipolar,weighted,MGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,3,80,200,2.9309999999999996,0.08301646830044883,ELFN1;RASGRF2;RPS6KA2,0.9408533074050867
Bipolar disorder,bipolar,weighted,thalamic excitatory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,3,80,200,2.9309999999999996,0.08301646830044883,CPNE7;LRTM2;RHOBTB1,0.9408533074050867
Bipolar disorder,bipolar,weighted,splatter,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,80,186,2.1010752688172043,0.2463822243268024,ELFN1;THSD7A,1.0
Bipolar disorder,bipolar,weighted,CGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,80,200,1.954,0.2729611486867165,ELFN1;THSD7A,1.0
Bipolar disorder,bipolar,weighted,deep-layer near-projecting,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,80,200,1.954,0.2729611486867165,ADCY2;CPNE7,1.0
Bipolar disorder,bipolar,weighted,upper-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,2,80,200,1.954,0.2729611486867165,KCNB1;KCNS1,1.0
Bipolar disorder,bipolar,weighted,central nervous system macrophage,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,STAB1,1.0
Bipolar disorder,bipolar,weighted,committed oligodendrocyte precursor,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,MYRF,1.0
Bipolar disorder,bipolar,weighted,deep-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,CPNE7,1.0
Bipolar disorder,bipolar,weighted,hippocampal CA4,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,MSRA,1.0
Bipolar disorder,bipolar,weighted,mammillary body,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,ADCY2,1.0
Bipolar disorder,bipolar,weighted,midbrain-derived inhibitory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,LRTM2,1.0
Bipolar disorder,bipolar,weighted,miscellaneous,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,CPNE7,1.0
Bipolar disorder,bipolar,weighted,oligodendrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,MYRF,1.0
Bipolar disorder,bipolar,weighted,pericyte,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,NT5DC2,1.0
Bipolar disorder,bipolar,weighted,upper rhombic lip,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,80,200,0.977,0.6439821553212505,MSRA,1.0
Bipolar disorder,bipolar,weighted,Bergmann glia,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,weighted,amygdala excitatory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,weighted,astrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,weighted,cerebellar inhibitory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,weighted,choroid plexus epithelial cell,Ciliated cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,weighted,deep-layer corticothalamic and 6b,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,weighted,eccentric medium spiny neuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
Bipolar disorder,bipolar,weighted,endothelial cell,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,80,200,0.0,1.0,,1.0
