method_1,method_2,pearson_r,spearman_rho,n_regions
broad,stringent,0.6090642490108044,0.5728705515435318,138
broad,weighted,0.820993163477761,0.8033923226382398,138
stringent,weighted,0.8958083584189889,0.8669098995636876,138
