disease,disease_id,donor_1,donor_2,score_method,pearson_r,n_common_regions
Migraine,migraine,12876,15697,stringent,0.27554871190462943,55
Migraine,migraine,12876,15697,weighted,0.11199782805495971,55
Migraine,migraine,12876,9861,broad,0.3047921977086605,56
Migraine,migraine,12876,9861,stringent,0.4200565416444313,56
Migraine,migraine,12876,9861,weighted,0.4095588452641242,56
Migraine,migraine,14380,15496,broad,0.19577099786898294,57
Migraine,migraine,14380,15496,stringent,-0.11894079212863876,57
Migraine,migraine,14380,15496,weighted,0.029615439476384918,57
Migraine,migraine,14380,15697,broad,0.08941092919293724,57
Migraine,migraine,14380,15697,stringent,0.22017142823466104,57
Migraine,migraine,14380,15697,weighted,0.19514620038000213,57
Migraine,migraine,14380,9861,broad,-0.10701665785839157,59
Migraine,migraine,14380,9861,stringent,0.1962791386383118,59
Migraine,migraine,14380,9861,weighted,0.10779261334418573,59
Migraine,migraine,15496,15697,broad,0.03991703653382202,56
Migraine,migraine,15496,15697,stringent,0.053597733188531255,56
Migraine,migraine,15496,15697,weighted,0.06666495560106678,56
Migraine,migraine,15496,9861,broad,0.21043199182851707,55
Migraine,migraine,15496,9861,stringent,0.09058083711174258,55
Migraine,migraine,15496,9861,weighted,0.19519274248512128,55
Migraine,migraine,15697,9861,broad,0.24950922373984985,59
Migraine,migraine,15697,9861,stringent,0.2597744572872284,59
Migraine,migraine,15697,9861,weighted,0.31170638822323704,59
Multiple sclerosis,multiple_sclerosis,10021,12876,broad,0.2592472854354327,56
Multiple sclerosis,multiple_sclerosis,10021,12876,stringent,0.24739954870463682,56
Multiple sclerosis,multiple_sclerosis,10021,12876,weighted,0.23936263833463556,56
Multiple sclerosis,multiple_sclerosis,10021,14380,broad,0.18160100530026516,59
Multiple sclerosis,multiple_sclerosis,10021,14380,stringent,0.4036558493425407,59
Multiple sclerosis,multiple_sclerosis,10021,14380,weighted,0.31576659933864354,59
Multiple sclerosis,multiple_sclerosis,10021,15496,broad,0.40280011105011204,56
Multiple sclerosis,multiple_sclerosis,10021,15496,stringent,0.39013425580549943,56
Multiple sclerosis,multiple_sclerosis,10021,15496,weighted,0.435156432567931,56
Multiple sclerosis,multiple_sclerosis,10021,15697,broad,0.44665167660730537,57
Multiple sclerosis,multiple_sclerosis,10021,15697,stringent,0.47796655773252744,57
Multiple sclerosis,multiple_sclerosis,10021,15697,weighted,0.44950735114208523,57
Multiple sclerosis,multiple_sclerosis,10021,9861,broad,0.10011485125646306,123
Multiple sclerosis,multiple_sclerosis,10021,9861,stringent,0.22429749324274778,123
Multiple sclerosis,multiple_sclerosis,10021,9861,weighted,0.18979916378022282,123
Multiple sclerosis,multiple_sclerosis,12876,14380,broad,-0.04339682271448423,58
Multiple sclerosis,multiple_sclerosis,12876,14380,stringent,0.07337352898944666,58
Multiple sclerosis,multiple_sclerosis,12876,14380,weighted,-0.11999013772486115,58
Multiple sclerosis,multiple_sclerosis,12876,15496,broad,-0.012294341186510344,55
Multiple sclerosis,multiple_sclerosis,12876,15496,stringent,-0.04784368964367473,55
Multiple sclerosis,multiple_sclerosis,12876,15496,weighted,-0.0378575570849397,55
Multiple sclerosis,multiple_sclerosis,12876,15697,broad,0.06761762724333592,55
Multiple sclerosis,multiple_sclerosis,12876,15697,stringent,0.23824400533654214,55
Multiple sclerosis,multiple_sclerosis,12876,15697,weighted,0.14316112165388173,55
Multiple sclerosis,multiple_sclerosis,12876,9861,broad,0.18140517619978813,56
Multiple sclerosis,multiple_sclerosis,12876,9861,stringent,0.20023632457742024,56
Multiple sclerosis,multiple_sclerosis,12876,9861,weighted,0.1587653869407812,56
Multiple sclerosis,multiple_sclerosis,14380,15496,broad,0.2729455015347968,57
Multiple sclerosis,multiple_sclerosis,14380,15496,stringent,0.495630475371375,57
Multiple sclerosis,multiple_sclerosis,14380,15496,weighted,0.38960081227078686,57
Multiple sclerosis,multiple_sclerosis,14380,15697,broad,0.27303529286692824,57
Multiple sclerosis,multiple_sclerosis,14380,15697,stringent,0.3294938381903779,57
Multiple sclerosis,multiple_sclerosis,14380,15697,weighted,0.37324361607155665,57
Multiple sclerosis,multiple_sclerosis,14380,9861,broad,0.19751952271044354,59
Multiple sclerosis,multiple_sclerosis,14380,9861,stringent,0.2951058189193943,59
Multiple sclerosis,multiple_sclerosis,14380,9861,weighted,0.25539251582216405,59
Multiple sclerosis,multiple_sclerosis,15496,15697,broad,0.2801501457023519,56
Multiple sclerosis,multiple_sclerosis,15496,15697,stringent,0.2256235433721256,56
Multiple sclerosis,multiple_sclerosis,15496,15697,weighted,0.21331240297700715,56
Multiple sclerosis,multiple_sclerosis,15496,9861,broad,0.2768187488834533,55
Multiple sclerosis,multiple_sclerosis,15496,9861,stringent,0.2562742017404513,55
Multiple sclerosis,multiple_sclerosis,15496,9861,weighted,0.22194150867099222,55
Multiple sclerosis,multiple_sclerosis,15697,9861,broad,0.2789460680585992,59
Multiple sclerosis,multiple_sclerosis,15697,9861,stringent,0.4766516623914957,59
Multiple sclerosis,multiple_sclerosis,15697,9861,weighted,0.3793831115974244,59
