disease,disease_id,donor_1,donor_2,score_method,pearson_r,n_common_regions
Amyotrophic lateral sclerosis,als,10021,12876,broad,0.49408964167574293,56
Amyotrophic lateral sclerosis,als,10021,12876,stringent,0.5382409599174518,56
Amyotrophic lateral sclerosis,als,10021,12876,weighted,0.5464237251923085,56
Amyotrophic lateral sclerosis,als,10021,14380,broad,0.25805040925649453,59
Amyotrophic lateral sclerosis,als,10021,14380,stringent,0.5031382841333293,59
Amyotrophic lateral sclerosis,als,10021,14380,weighted,0.41429904317402766,59
Amyotrophic lateral sclerosis,als,10021,15496,broad,0.07844314766871434,56
Amyotrophic lateral sclerosis,als,10021,15496,stringent,0.46185296728199576,56
Amyotrophic lateral sclerosis,als,10021,15496,weighted,0.3196350780027856,56
Amyotrophic lateral sclerosis,als,10021,15697,broad,0.46145192652347794,57
Amyotrophic lateral sclerosis,als,10021,15697,stringent,0.5916919628153989,57
Amyotrophic lateral sclerosis,als,10021,15697,weighted,0.5559111384840869,57
Amyotrophic lateral sclerosis,als,10021,9861,broad,0.16494917755520774,123
Amyotrophic lateral sclerosis,als,10021,9861,stringent,0.5706211576218861,123
Amyotrophic lateral sclerosis,als,10021,9861,weighted,0.3727422356388799,123
Amyotrophic lateral sclerosis,als,12876,14380,broad,0.4990554113623541,58
Amyotrophic lateral sclerosis,als,12876,14380,stringent,0.5850584540610643,58
Amyotrophic lateral sclerosis,als,12876,14380,weighted,0.6084740449387132,58
Amyotrophic lateral sclerosis,als,12876,15496,broad,0.2660769939145275,55
Amyotrophic lateral sclerosis,als,12876,15496,stringent,0.5390342210564144,55
Amyotrophic lateral sclerosis,als,12876,15496,weighted,0.5098933522451774,55
Amyotrophic lateral sclerosis,als,12876,15697,broad,0.5027066844675673,55
Amyotrophic lateral sclerosis,als,12876,15697,stringent,0.7462477034485532,55
Amyotrophic lateral sclerosis,als,12876,15697,weighted,0.68364181205522,55
Amyotrophic lateral sclerosis,als,12876,9861,broad,0.5576932543195545,56
Amyotrophic lateral sclerosis,als,12876,9861,stringent,0.5474082121250481,56
Amyotrophic lateral sclerosis,als,12876,9861,weighted,0.5905877489571512,56
Amyotrophic lateral sclerosis,als,14380,15496,broad,0.14547270739486284,57
Amyotrophic lateral sclerosis,als,14380,15496,stringent,0.4892464961975895,57
Amyotrophic lateral sclerosis,als,14380,15496,weighted,0.41168168680907496,57
Amyotrophic lateral sclerosis,als,14380,15697,broad,0.28551516882846295,57
Amyotrophic lateral sclerosis,als,14380,15697,stringent,0.6097903561233649,57
