gene_set_version,region_id,region_name,stage6_z,stage6_fdr,spatial_null_p,spatial_null_fdr,spatial_robustness,robustness_rank
broad,1,Precentral L,-0.9200387706346448,0.9936028619360286,0.8195180481951805,0.9791793547917935,0.18048195180481952,107
broad,2,Precentral R,-0.9544165630081572,0.9936028619360286,0.8486151384861513,0.9791793547917935,0.15138486151384867,116
broad,3,Frontal Sup 2 L,1.652901707128071,0.4765123487651235,0.08969103089691031,0.799508284465671,0.9103089691030897,14
broad,4,Frontal Sup 2 R,1.8644032689492007,0.4765123487651235,0.06919308069193081,0.799508284465671,0.9308069193080692,8
broad,5,Frontal Mid 2 L,-0.2855797493647662,0.9410658934106588,0.6164383561643836,0.9452054794520548,0.3835616438356164,90
broad,6,Frontal Mid 2 R,-1.0162453666351496,0.9936028619360286,0.8354164583541646,0.9791793547917935,0.16458354164583544,110
broad,7,Frontal Inf Oper L,-0.1407154258771807,0.9198545261752894,0.5700429957004299,0.9320486555995563,0.42995700429957007,81
broad,8,Frontal Inf Oper R,-1.518176988937131,0.9936028619360286,0.948005199480052,0.9794991089126381,0.05199480051994798,133
broad,9,Frontal Inf Tri L,-0.722509989384574,0.9936028619360286,0.7481251874812519,0.9791793547917935,0.2518748125187481,100
broad,10,Frontal Inf Tri R,-1.2392620940822934,0.9936028619360286,0.8459154084591541,0.9791793547917935,0.15408459154084586,114
broad,11,Frontal Inf Orb 2 L,1.145754161313162,0.6434245464342455,0.16778322167783222,0.8898642050688548,0.8322167783221678,24
broad,12,Frontal Inf Orb 2 R,-1.3319979333749552,0.9936028619360286,0.8917108289171083,0.9791793547917935,0.10828917108289171,120
broad,13,Rolandic Oper L,1.6490568098444234,0.4765123487651235,0.09779022097790221,0.799508284465671,0.9022097790220978,16
broad,14,Rolandic Oper R,-0.5557695647910084,0.9936028619360286,0.7176282371762823,0.9791793547917935,0.2823717628237177,99
broad,15,Supp Motor Area L,0.6373779396846689,0.7490679503478223,0.26997300269973,0.8898642050688548,0.73002699730027,37
broad,16,Supp Motor Area R,-0.2351382640919638,0.9304660443046604,0.6040395960403959,0.9366007219502769,0.3959604039596041,89
broad,17,Olfactory L,-0.8075765541178486,0.9936028619360286,0.756024397560244,0.9791793547917935,0.24397560243975602,101
broad,18,Olfactory R,-1.7510661232987157,0.9936028619360286,0.9366063393660634,0.9791793547917935,0.06339366063393659,132
broad,19,Frontal Sup Medial L,-0.0984424037967575,0.9198545261752894,0.5500449955004499,0.9320486555995563,0.44995500449955006,75
broad,20,Frontal Sup Medial R,2.2257874741479715,0.4036096390360963,0.027197280271972803,0.799508284465671,0.9728027197280272,3
broad,21,Frontal Med Orb L,-0.1490715924584919,0.9198545261752894,0.563943605639436,0.9320486555995563,0.436056394360564,80
broad,22,Frontal Med Orb R,1.691039744518506,0.4765123487651235,0.0740925907409259,0.799508284465671,0.9259074092590741,10
broad,23,Rectus L,0.9618878677240716,0.714078592140786,0.27717228277172284,0.8898642050688548,0.7228277172282771,40
broad,24,Rectus R,0.7083663580616384,0.7490679503478223,0.27947205279472054,0.8898642050688548,0.7205279472052795,41
broad,25,OFCmed L,-0.0477582923096149,0.9198545261752894,0.5261473852614739,0.9320486555995563,0.47385261473852613,71
broad,26,OFCmed R,0.0511743753616452,0.9198545261752894,0.5095490450954905,0.9320486555995563,0.4904509549045095,69
broad,27,OFCant L,0.1426783906348092,0.9198545261752894,0.47425257474252575,0.9320486555995563,0.5257474252574743,65
broad,28,OFCant R,2.899141329332949,0.1862813718628137,0.0216978302169783,0.799508284465671,0.9783021697830216,2
broad,29,OFCpost L,-0.9799332536727816,0.9936028619360286,0.8036196380361964,0.9791793547917935,0.1963803619638036,104
broad,30,OFCpost R,-0.1122472098896735,0.9198545261752894,0.5616438356164384,0.9320486555995563,0.4383561643835616,79
broad,31,OFClat L,-1.3070922102672955,0.9936028619360286,0.8235176482351765,0.9791793547917935,0.17648235176482352,108
broad,32,OFClat R,-1.717864812177435,0.9936028619360286,0.9084091590840916,0.9791793547917935,0.09159084091590841,126
broad,33,Insula L,-0.6281992259972241,0.9936028619360286,0.7148285171482852,0.9791793547917935,0.2851714828517148,98
broad,34,Insula R,-0.947100872464084,0.9936028619360286,0.8186181381861813,0.9791793547917935,0.18138186181381866,106
broad,37,Cingulate Mid L,1.189782651818424,0.6434245464342455,0.1282871712828717,0.8898642050688548,0.8717128287171283,18
broad,38,Cingulate Mid R,0.9720496541987912,0.714078592140786,0.1932806719328067,0.8898642050688548,0.8067193280671933,28
broad,39,Cingulate Post L,-1.4292076503710325,0.9936028619360286,0.8996100389961004,0.9791793547917935,0.10038996100389963,124
broad,41,Hippocampus L,1.741554829184007,0.4765123487651235,0.06939306069393061,0.799508284465671,0.9306069393060694,9
broad,42,Hippocampus R,0.8180509716813544,0.7490679503478223,0.25237476252374763,0.8898642050688548,0.7476252374762524,35
broad,43,ParaHippocampal L,-0.1027536409676209,0.9198545261752894,0.5547445255474452,0.9320486555995563,0.44525547445255476,76
broad,44,ParaHippocampal R,0.3721901145028161,0.9086646890866468,0.407959204079592,0.9320486555995563,0.5920407959204079,54
broad,45,Amygdala L,1.4627435361972438,0.5584809940058626,0.09519048095190481,0.799508284465671,0.9048095190480951,15
broad,46,Amygdala R,1.1680211920048835,0.6434245464342455,0.16148385161483853,0.8898642050688548,0.8385161483851615,23
broad,47,Calcarine L,0.0516627902784167,0.9198545261752894,0.49625037496250374,0.9320486555995563,0.5037496250374962,67
broad,48,Calcarine R,1.3961831760690315,0.5622937706229377,0.1561843815618438,0.8898642050688548,0.8438156184381562,22
broad,49,Cuneus L,0.7332037024839595,0.7490679503478223,0.3030696930306969,0.8898642050688548,0.6969303069693031,47
broad,51,Lingual L,-0.3595951477528123,0.9537368843760784,0.6335366463353664,0.9503049695030497,0.36646335366463356,92
broad,52,Lingual R,-0.3593154189150799,0.9537368843760784,0.6666333366663334,0.9786744729782341,0.3333666633336666,94
broad,53,Occipital Sup L,-0.1597563915241871,0.9198545261752894,0.5773422657734226,0.9320486555995563,0.4226577342265774,84
broad,55,Occipital Mid L,0.982597009199454,0.714078592140786,0.21637836216378362,0.8898642050688548,0.7836216378362164,31
broad,56,Occipital Mid R,2.0722214987117376,0.4765123487651235,0.048795120487951205,0.799508284465671,0.9512048795120488,6
broad,57,Occipital Inf L,0.1532856849243101,0.9198545261752894,0.46795320467953205,0.9320486555995563,0.532046795320468,63
broad,58,Occipital Inf R,0.4892436746971102,0.8432779363573077,0.34736526347365265,0.9218539684493089,0.6526347365263474,52
broad,59,Fusiform L,1.2304840478592427,0.6434245464342455,0.1897810218978102,0.8898642050688548,0.8102189781021898,26
