region_id,region,robustness_rank,spatial_robustness_label,gene,gene_expression,l2g_score,weighted_contribution,regional_rank,top_driver
28,OFCant R,1,not_robust,GPNMB,0.691134323040947,0.8844435214996338,0.013049539669062934,1,True
28,OFCant R,1,not_robust,CCSER1,0.7197561252725014,0.8328624963760376,0.012797386935817572,2,True
28,OFCant R,1,not_robust,RIT2,0.6982053582007935,0.8445248007774353,0.012588042793225273,3,True
28,OFCant R,1,not_robust,SIPA1L2,0.6866150039724128,0.8528462648391724,0.012501055020094978,4,True
28,OFCant R,1,not_robust,FCGR2A,0.6472099658370678,0.8712173104286194,0.012037445042881479,5,True
28,OFCant R,1,not_robust,CNTN1,0.7382489145153637,0.7606772780418396,0.01198852867194526,6,True
28,OFCant R,1,not_robust,CTSB,0.65392804850903,0.8426995277404785,0.011764279704848293,7,True
28,OFCant R,1,not_robust,ASXL3,0.7563052997906115,0.7160765528678894,0.011561634148353513,8,True
28,OFCant R,1,not_robust,RIMS1,0.7899899271305053,0.67091304063797,0.011314891990723558,9,True
28,OFCant R,1,not_robust,SH3GL2,0.572395877122694,0.8994671702384949,0.010991183004550258,10,True
28,OFCant R,1,not_robust,RNF141,0.681622872867637,0.7541582584381104,0.010974109063283938,11,True
28,OFCant R,1,not_robust,ALG10,0.723350494002541,0.7019623517990112,0.010839898811459024,12,True
28,OFCant R,1,not_robust,SEC23IP,0.7111197057716601,0.6697301864624023,0.010167290047689957,13,True
28,OFCant R,1,not_robust,FAM47E,0.6706847514474328,0.6943575739860535,0.009941781979810082,14,True
28,OFCant R,1,not_robust,DYRK1A,0.6126888912214177,0.7525694370269775,0.009843492360073805,15,True
28,OFCant R,1,not_robust,AZI2,0.8032815284165546,0.5317397713661194,0.009118629082966805,16,True
28,OFCant R,1,not_robust,SLC2A13,0.6068156093472692,0.700274646282196,0.009071681040170372,17,True
28,OFCant R,1,not_robust,ITPKB,0.4713752667724319,0.9014809131622314,0.009071643034660367,18,True
28,OFCant R,1,not_robust,STK39,0.5023207161600839,0.8421160578727722,0.009030580397751418,19,True
28,OFCant R,1,not_robust,CAMK2D,0.687504810113209,0.6061360836029053,0.008896281263442935,20,True
28,OFCant R,1,not_robust,TMEM163,0.4831593869896257,0.8511537313461304,0.008779323544823914,21,False
28,OFCant R,1,not_robust,IRS2,0.5301708799744984,0.7469207048416138,0.008453819949008222,22,False
28,OFCant R,1,not_robust,PKP2,0.5431342906507666,0.7130399346351624,0.00826768081728761,23,False
28,OFCant R,1,not_robust,TOX3,0.5282907409528816,0.7276461720466614,0.008206460312615908,24,False
28,OFCant R,1,not_robust,CLCN3,0.4748052244705482,0.8020431399345398,0.00812972477198921,25,False
28,OFCant R,1,not_robust,TMEM175,0.4773504946475044,0.7957037091255188,0.008108702835732852,26,False
28,OFCant R,1,not_robust,HIP1R,0.4272900739269639,0.8798125386238098,0.008025564262785116,27,False
28,OFCant R,1,not_robust,SLC18B1,0.5344127779055649,0.702358067035675,0.008013053346146593,28,False
28,OFCant R,1,not_robust,MED12L,0.6649134553751954,0.5456203818321228,0.007744944895560929,29,False
28,OFCant R,1,not_robust,FASN,0.6422997741891935,0.5596649646759033,0.007674118754118798,30,False
28,OFCant R,1,not_robust,MAP4K4,0.4523567815044881,0.7526438236236572,0.007268306499420542,31,False
28,OFCant R,1,not_robust,PIK3CA,0.5925437884924762,0.5610139966011047,0.0070967053138481,32,False
28,OFCant R,1,not_robust,FYN,0.4284158610756712,0.7615038752555847,0.006964665844650843,33,False
28,OFCant R,1,not_robust,DLG2,0.5344727746507332,0.607625424861908,0.006933047104559912,34,False
28,OFCant R,1,not_robust,USP25,0.5604187857490388,0.5770121216773987,0.006903355632096027,35,False
28,OFCant R,1,not_robust,ITGA8,0.5510169922472241,0.5747663378715515,0.006761124642405709,36,False
28,OFCant R,1,not_robust,SLC50A1,0.4986179430198939,0.6150293350219727,0.006546759076305973,37,False
28,OFCant R,1,not_robust,GALC,0.4167230779895383,0.730959951877594,0.006502850368702221,38,False
28,OFCant R,1,not_robust,UBAP2,0.5229513332649351,0.5707280039787292,0.006371667180458406,39,False
28,OFCant R,1,not_robust,ITPA,0.587637772270136,0.4807567894458771,0.006031117024113882,40,False
28,OFCant R,1,not_robust,KTN1,0.5755983464844797,0.4827914834022522,0.005932554867591581,41,False
28,OFCant R,1,not_robust,SNCA,0.6317179243437852,0.4322746694087982,0.005829692029521019,42,False
28,OFCant R,1,not_robust,ITGA2B,0.4754973395127638,0.5718092322349548,0.005804460763218174,43,False
