region_id,region,regional_weighted_score,contribution_rank,gene,expression,l2g_score,weighted_contribution,normalized_contribution
118,Vermis 8,0.5671194217937651,1,SIPA1L2,0.986457840127968,0.8528462648391724,0.01796023049758356,0.031669221344556374
118,Vermis 8,0.5671194217937651,2,ITPKB,0.9275314306662764,0.9014809131622314,0.01785039359414348,0.031475546257406874
118,Vermis 8,0.5671194217937651,3,FCGR2A,0.9342470501308914,0.8712173104286194,0.01737604195862438,0.03063912342071623
118,Vermis 8,0.5671194217937651,4,HIP1R,0.915277580708011,0.8798125386238098,0.017191176417344554,0.030313150558254374
118,Vermis 8,0.5671194217937651,5,STK39,0.9448578624554091,0.8421160578727722,0.01698638860960669,0.029952048822238824
118,Vermis 8,0.5671194217937651,6,CLCN3,0.9513802001291634,0.8020431399345398,0.01628975163277689,0.02872367090030771
118,Vermis 8,0.5671194217937651,7,GPNMB,0.8440568021272644,0.8844435214996338,0.01593692044382749,0.028101524707829558
118,Vermis 8,0.5671194217937651,8,RNF141,0.978270778346048,0.7541582584381104,0.015750131989889858,0.027772161179162473
118,Vermis 8,0.5671194217937651,9,MAP4K4,0.95455787429442,0.7526438236236572,0.015337493512824353,0.027044556972344175
118,Vermis 8,0.5671194217937651,10,IRS2,0.8621182794652241,0.7469207048416138,0.013746874799495445,0.02423982369712345
118,Vermis 8,0.5671194217937651,11,ASXL3,0.8862214518605883,0.7160765528678894,0.013547661511391671,0.02388855149509998
118,Vermis 8,0.5671194217937651,12,SLC2A13,0.9034676444998224,0.700274646282196,0.013506525169701139,0.023816015905399276
118,Vermis 8,0.5671194217937651,13,TMEM175,0.7938168589292047,0.7957037091255188,0.013484483806401016,0.023777150434648144
118,Vermis 8,0.5671194217937651,14,CTSB,0.744885672097022,0.8426995277404785,0.013400623225541714,0.023629279320317314
118,Vermis 8,0.5671194217937651,15,SLC18B1,0.8926993459857199,0.702358067035675,0.013385247840607932,0.023602167949514405
118,Vermis 8,0.5671194217937651,16,FAM47E,0.8782309790092674,0.6943575739860535,0.013018308381668401,0.022955144686267796
118,Vermis 8,0.5671194217937651,17,SLC50A1,0.9690382178731088,0.6150293350219727,0.01272328811459363,0.02243493632143762
118,Vermis 8,0.5671194217937651,18,ELOVL7,0.9564430480755872,0.6225336194038391,0.012711141414424938,0.022413518080936747
118,Vermis 8,0.5671194217937651,19,SV2C,0.96329350882764,0.5758057832717896,0.011841242677656242,0.020879628209880565
118,Vermis 8,0.5671194217937651,20,TOX3,0.7590397223720019,0.7276461720466614,0.011790911470660054,0.02079087934136713
118,Vermis 8,0.5671194217937651,21,USP25,0.935764152804718,0.5770121216773987,0.01152693824484112,0.02032541613260591
118,Vermis 8,0.5671194217937651,22,ITGA8,0.8811183163460719,0.5747663378715515,0.010811555442648814,0.0190639837522272
118,Vermis 8,0.5671194217937651,23,AZI2,0.8949577817972795,0.5317397713661194,0.010159312480657745,0.017913885665429074
118,Vermis 8,0.5671194217937651,24,ITPA,0.9667510683189589,0.4807567894458771,0.009922079725566796,0.017495573849655607
118,Vermis 8,0.5671194217937651,25,PIK3CA,0.8052700260818701,0.5610139966011047,0.009644458661387805,0.017006045447858165
118,Vermis 8,0.5671194217937651,26,NSF,0.8451066106949012,0.5286843180656433,0.009538290666061813,0.01681883973554066
118,Vermis 8,0.5671194217937651,27,KPNA1,0.95685817773369,0.3957322239875793,0.008083726549717235,0.014254011128994479
118,Vermis 8,0.5671194217937651,28,KTN1,0.7734398304507492,0.4827914834022522,0.007971659854400782,0.01405640425642081
118,Vermis 8,0.5671194217937651,29,PARP9,0.9027512596770952,0.4089574217796325,0.007881498962736256,0.013897423822671333
118,Vermis 8,0.5671194217937651,30,GALC,0.4442447387483082,0.730959951877594,0.00693231840458805,0.012223736550339863
118,Vermis 8,0.5671194217937651,31,DLG2,0.5268765036236117,0.607625424861908,0.006834510177427464,0.012051271592516297
118,Vermis 8,0.5671194217937651,32,FYN,0.3924549863468785,0.7615038752555847,0.006380057526605512,0.011249936576719194
118,Vermis 8,0.5671194217937651,33,FAM171A1,0.9216924749867244,0.316009521484375,0.006217973051331997,0.010964133500603669
118,Vermis 8,0.5671194217937651,34,MYLK2,0.9523839011652828,0.2965930700302124,0.006030254902963747,0.010633130644495323
118,Vermis 8,0.5671194217937651,35,P2RY12,0.9305842871204412,0.3019077479839325,0.005997808554513086,0.010575918094186192
118,Vermis 8,0.5671194217937651,36,TMED5,0.929326904770989,0.3018712401390075,0.0059889801666533566,0.01056035102397053
118,Vermis 8,0.5671194217937651,37,CD38,0.8277618175793164,0.321556955575943,0.005682323087335911,0.010019623502512159
118,Vermis 8,0.5671194217937651,38,ZCWPW2,0.926204114103495,0.2858431041240692,0.005651933594992046,0.009966037800495917
118,Vermis 8,0.5671194217937651,39,CCAR2,0.6672231921557517,0.3965764939785003,0.005648858915503576,0.009960616227242888
118,Vermis 8,0.5671194217937651,40,MED12L,0.4463094738588547,0.5456203818321228,0.00519863488016364,0.009166737516625105
118,Vermis 8,0.5671194217937651,41,HSD3B7,0.6691783201543231,0.3309276401996612,0.0047275652339626275,0.008336101801997228
118,Vermis 8,0.5671194217937651,42,SPPL2B,0.3123707301742516,0.6948310136795044,0.004633531854818696,0.008170293022522687
118,Vermis 8,0.5671194217937651,43,SEC23IP,0.318746106387505,0.6697301864624023,0.004557297581420443,0.008035869353593966
118,Vermis 8,0.5671194217937651,44,NCKIPSD,0.5855333285522838,0.3463244140148163,0.004329097365804035,0.00763348458797507
118,Vermis 8,0.5671194217937651,45,PKP2,0.2828453749172926,0.7130399346351624,0.0043055195017429925,0.007591909809974226
118,Vermis 8,0.5671194217937651,46,MIPOL1,0.8900683674850511,0.2262192219495773,0.0042984858013657735,0.007579507306891239
118,Vermis 8,0.5671194217937651,47,DGKQ,0.749941380514091,0.2635650038719177,0.004219662220366773,0.007440517919524314
118,Vermis 8,0.5671194217937651,48,C2CD4A,0.8827932337526754,0.2195565849542617,0.004137786594627125,0.007296146870688285
118,Vermis 8,0.5671194217937651,49,SH3GL2,0.1905029667139756,0.8994671702384949,0.003658050404884784,0.006450229465452957
118,Vermis 8,0.5671194217937651,50,TMEM163,0.194438711559706,0.8511537313461304,0.003533079154390942,0.0062298680288818626
118,Vermis 8,0.5671194217937651,51,CYLD,0.94676467647813,0.169330820441246,0.0034224781503933437,0.006034845605478034
118,Vermis 8,0.5671194217937651,52,ERCC8,0.4947407273123703,0.3066307008266449,0.003238589654675777,0.005710595564567888
118,Vermis 8,0.5671194217937651,53,WNT3,0.9772585145859496,0.1518237739801406,0.003167465339204565,0.005585182269346485
118,Vermis 8,0.5671194217937651,54,DYRK1A,0.1969705131244275,0.7525694370269775,0.0031645387551174553,0.005580021832276894
118,Vermis 8,0.5671194217937651,55,MCCC1,0.2238531692618532,0.6534242630004883,0.0031226343266626045,0.005506131877455193
118,Vermis 8,0.5671194217937651,56,ALG10,0.2037217866685606,0.7019623517990112,0.003052909442222737,0.005383186194834535
118,Vermis 8,0.5671194217937651,57,STBD1,0.978740223848538,0.1455356031656265,0.0030408802133468373,0.005361975091116993
