region_id,region_name,gene_set_version,observed_score,random_mean,random_std,z_score,number_random_equal_or_greater,empirical_p,fdr_p,effect_size,n_permutations,inference_scope
28,OFCant R,broad,0.5404525935041014,0.5095169458895922,0.010670624195346498,2.899141329332949,21,0.0021997800219978004,0.1862813718628137,0.030935647614509176,10000,gene-set permutation significance; not a spatially independent test
141,Thal MGN L,broad,0.5650683616066453,0.5313660577952862,0.012159833481381041,2.7716089914359068,26,0.0026997300269973002,0.1862813718628137,0.03370230381135908,10000,gene-set permutation significance; not a spatially independent test
101,Cerebellum 4 5 L,broad,0.5428256547085529,0.5248141788005829,0.0072657303992362835,2.4789628734178266,60,0.006099390060993901,0.28057194280571945,0.01801147590797003,10000,gene-set permutation significance; not a spatially independent test
20,Frontal Sup Medial R,broad,0.5335963587687055,0.5112710929423571,0.010030277412219915,2.2257874741479715,116,0.011698830116988301,0.40360963903609637,0.022325265826348417,10000,gene-set permutation significance; not a spatially independent test
56,Occipital Mid R,broad,0.529069431315593,0.5083009999096394,0.010022302837252191,2.0722214987117376,179,0.017998200179982,0.4765123487651235,0.020768431405953636,10000,gene-set permutation significance; not a spatially independent test
146,Thal PuM R,broad,0.5258686480335911,0.5057637697279453,0.01049044113527566,1.916495030703728,280,0.028097190280971903,0.4765123487651235,0.02010487830564578,10000,gene-set permutation significance; not a spatially independent test
4,Frontal Sup 2 R,broad,0.5174625332932841,0.5067210498481989,0.005761351969276052,1.8644032689492007,303,0.030396960303969604,0.4765123487651235,0.010741483445085187,10000,gene-set permutation significance; not a spatially independent test
86,Temporal Sup R,broad,0.5035134323157381,0.4933006738722324,0.005724053985360075,1.7841827609638146,380,0.0380961903809619,0.4765123487651235,0.010212758443505665,10000,gene-set permutation significance; not a spatially independent test
41,Hippocampus L,broad,0.5097231358371487,0.4942522486686707,0.008883376457189562,1.741554829184007,401,0.040195980401959805,0.4765123487651235,0.015470887168477998,10000,gene-set permutation significance; not a spatially independent test
22,Frontal Med Orb R,broad,0.543780751689348,0.5252016744673252,0.010986777384888052,1.691039744518506,469,0.046995300469953004,0.4765123487651235,0.01857907722202279,10000,gene-set permutation significance; not a spatially independent test
111,Cerebellum 10 L,broad,0.535895689268353,0.5133265818446875,0.013570669283199603,1.6630799080488883,471,0.0471952804719528,0.4765123487651235,0.02256910742366547,10000,gene-set permutation significance; not a spatially independent test
94,Temporal Inf R,broad,0.5071036863378642,0.49713517826497555,0.006026282098539066,1.6541721595318717,515,0.051594840515948405,0.4765123487651235,0.009968508072888627,10000,gene-set permutation significance; not a spatially independent test
3,Frontal Sup 2 L,broad,0.5065649562401109,0.4977000384837389,0.0053632455687730235,1.652901707128071,481,0.0481951804819518,0.4765123487651235,0.008864917756371993,10000,gene-set permutation significance; not a spatially independent test
13,Rolandic Oper L,broad,0.5189882076508016,0.5096638628274203,0.005654350273269832,1.6490568098444234,517,0.051794820517948204,0.4765123487651235,0.009324344823381292,10000,gene-set permutation significance; not a spatially independent test
102,Cerebellum 4 5 R,broad,0.5486448756494278,0.5239286822736263,0.015069003437167374,1.6402009249556266,512,0.051294870512948704,0.4765123487651235,0.024716193375801443,10000,gene-set permutation significance; not a spatially independent test
67,SupraMarginal L,broad,0.4846570253585736,0.4748813525140286,0.006370500189284984,1.534522024029986,616,0.061693830616938304,0.5321092890710929,0.009775672844545003,10000,gene-set permutation significance; not a spatially independent test
45,Amygdala L,broad,0.5209476604218192,0.5073955226659774,0.0092648761867537,1.4627435361972438,713,0.07139286071392861,0.5584809940058626,0.013552137755841742,10000,gene-set permutation significance; not a spatially independent test
72,Precuneus R,broad,0.4930540608845101,0.4835191052883863,0.006590781707582475,1.44671087879517,744,0.0744925507449255,0.5584809940058626,0.009534955596123773,10000,gene-set permutation significance; not a spatially independent test
103,Cerebellum 6 L,broad,0.5177890320631001,0.5051959600567818,0.008875037941541274,1.4189316247735786,768,0.07689231076892311,0.5584809940058626,0.012593072006318318,10000,gene-set permutation significance; not a spatially independent test
