region_id,region_name,broad_mean_expression,stringent_mean_expression,weighted_mean_expression,n_broad_genes_present,n_stringent_genes_present,n_weighted_genes_present,atlas_label,broad_system,analysis_scale
49,Cuneus L,0.5090544848845593,0.45744589659338775,0.48055117513176515,123,34,123,Cuneus_L,cortex,raw_scale_analysis
51,Lingual L,0.5002711716352971,0.46206852095288753,0.4777776879790196,123,34,123,Lingual_L,cortex,raw_scale_analysis
52,Lingual R,0.49985166235788253,0.4605502311987073,0.47806527783194436,123,34,123,Lingual_R,cortex,raw_scale_analysis
53,Occipital Sup L,0.5166906879973484,0.4810044032389963,0.5043159089651654,123,34,123,Occipital_Sup_L,cortex,raw_scale_analysis
55,Occipital Mid L,0.5165196946113555,0.4945436999852951,0.5035786884490719,123,34,123,Occipital_Mid_L,cortex,raw_scale_analysis
56,Occipital Mid R,0.529069431315593,0.5040312360826681,0.520327036503315,123,34,123,Occipital_Mid_R,cortex,raw_scale_analysis
57,Occipital Inf L,0.5170820459890269,0.4969862860116823,0.504607587228048,123,34,123,Occipital_Inf_L,cortex,raw_scale_analysis
58,Occipital Inf R,0.5140213529792832,0.5031873650450988,0.5111437051947447,123,34,123,Occipital_Inf_R,cortex,raw_scale_analysis
59,Fusiform L,0.5016732614883413,0.504198886499407,0.5006485200448341,123,34,123,Fusiform_L,cortex,raw_scale_analysis
60,Fusiform R,0.4987424499427161,0.49421178175538893,0.49188960697341905,123,34,123,Fusiform_R,cortex,raw_scale_analysis
61,Postcentral L,0.5089652223530561,0.5018516506193043,0.5066625940241201,123,34,123,Postcentral_L,cortex,raw_scale_analysis
62,Postcentral R,0.501021395732898,0.48348256909661724,0.4936612595516457,123,34,123,Postcentral_R,cortex,raw_scale_analysis
63,Parietal Sup L,0.512344726312697,0.4896079331921829,0.5026394098130921,123,34,123,Parietal_Sup_L,cortex,raw_scale_analysis
64,Parietal Sup R,0.4531712880857386,0.422930469993673,0.4392928393734095,123,34,123,Parietal_Sup_R,cortex,raw_scale_analysis
65,Parietal Inf L,0.5124358399291297,0.5063495948394686,0.5114722441940167,123,34,123,Parietal_Inf_L,cortex,raw_scale_analysis
66,Parietal Inf R,0.5049385781089162,0.48340467002742643,0.49365078935393825,123,34,123,Parietal_Inf_R,cortex,raw_scale_analysis
67,SupraMarginal L,0.4846570253585736,0.4874148737373016,0.4861117183423972,123,34,123,SupraMarginal_L,cortex,raw_scale_analysis
68,SupraMarginal R,0.4704579037115745,0.46826719767365854,0.46466788381953067,123,34,123,SupraMarginal_R,cortex,raw_scale_analysis
69,Angular L,0.51210617017441,0.512080627248074,0.5132726506274339,123,34,123,Angular_L,cortex,raw_scale_analysis
70,Angular R,0.488399428329531,0.4773035371099889,0.4860002672794375,123,34,123,Angular_R,cortex,raw_scale_analysis
