gene_set,n_genes,n_present_in_ahba,n_absent_from_ahba,coverage_percentage,genes_absent_from_ahba,coverage_only_no_expression_scoring
broad,149,123,26,82.5503355704698,BRIP1;BST1;CCDC178;CCDC18;CRHR1;DEPDC1B;FCGR2B;FGF20;FOXA1;GCH1;GPR65;IGSF9B;IL1R2;IL1RL2;IQGAP2;KCNMB3;LCORL;MIX23;MMRN1;MYOC;NOD2;NUP42;OLAH;TTC6;WDR5B;WNT9B,True
stringent,38,34,4,89.47368421052632,BST1;IGSF9B;LCORL;NOD2,True
weighted,149,123,26,82.5503355704698,BRIP1;BST1;CCDC178;CCDC18;CRHR1;DEPDC1B;FCGR2B;FGF20;FOXA1;GCH1;GPR65;IGSF9B;IL1R2;IL1RL2;IQGAP2;KCNMB3;LCORL;MIX23;MMRN1;MYOC;NOD2;NUP42;OLAH;TTC6;WDR5B;WNT9B,True
