region_id,region_name,method,raw_scale_score,gene_standardized_score,raw_scale_label,standardized_scale_label,raw_vs_gene_standardized_pearson_r,primary_or_sensitivity
42,Hippocampus R,broad,0.5026697152122017,0.003464440109684701,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
43,ParaHippocampal L,broad,0.5007842942885306,-0.018268765344700184,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
44,ParaHippocampal R,broad,0.5181086711361422,0.08619505040920647,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
45,Amygdala L,broad,0.5209476604218192,0.09810995344450266,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
46,Amygdala R,broad,0.47441999934980617,-0.264271541641335,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
47,Calcarine L,broad,0.505425367874815,0.006459130231421751,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
48,Calcarine R,broad,0.5028492952068573,-0.01907791890232998,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
49,Cuneus L,broad,0.5090544848845593,0.028880027076385893,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
51,Lingual L,broad,0.5002711716352971,-0.028805390604437528,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
52,Lingual R,broad,0.49985166235788253,-0.04775486241050878,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
53,Occipital Sup L,broad,0.5166906879973484,0.07910328424405874,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
55,Occipital Mid L,broad,0.5165196946113555,0.07618932941725022,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
56,Occipital Mid R,broad,0.529069431315593,0.17562443949408302,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
57,Occipital Inf L,broad,0.5170820459890269,0.07992561103383491,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
58,Occipital Inf R,broad,0.5140213529792832,0.04477658338459964,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
59,Fusiform L,broad,0.5016732614883413,-0.029464376218602678,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
60,Fusiform R,broad,0.4987424499427161,-0.04802240882638481,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
