disease,disease_id,gene,ensembl_id,l2g_score,number_of_top_regions,mean_expression,mean_weighted_contribution,maximum_weighted_contribution,regions
Alzheimer disease,alzheimer,ACE,ENSG00000159640,0.7882005572319031,3,0.48103058722976694,0.010457659808715722,0.01165322921605717,ACC pre R;ACC sup L;OFClat L
Alzheimer disease,alzheimer,CCDC6,ENSG00000108091,0.6124324798583984,2,0.6772433497188439,0.011440053196449213,0.01194374815599673,ACC pre R;Temporal Pole Mid L
Alzheimer disease,alzheimer,ADAM10,ENSG00000137845,0.7040711045265198,2,0.5806842182791772,0.011276689534073419,0.011288897181971395,ACC sup L;Thal PuM R
Alzheimer disease,alzheimer,PRSS36,ENSG00000178226,0.5066303014755249,2,0.7644555595061273,0.01068239135330062,0.01118305640926593,Thal AV R;Thal MDm L
Alzheimer disease,alzheimer,PILRA,ENSG00000085514,0.6241456270217896,2,0.6198123600214014,0.010670167678174705,0.010796358790986636,OFClat R;Thal PuA L
Alzheimer disease,alzheimer,IDUA,ENSG00000127415,0.529586136341095,2,0.7165822589851272,0.010467132914828214,0.010981954757042792,ACC pre R;OFClat R
Alzheimer disease,alzheimer,PICALM,ENSG00000073921,0.6139066815376282,2,0.6173587788107808,0.01045358050117872,0.010705569248423082,ACC sup L;Thal PuM R
Alzheimer disease,alzheimer,ABCA7,ENSG00000064687,0.5911163091659546,2,0.6355261762851214,0.010361710752305481,0.01091680539392489,Thal PuA L;Thal PuM R
Alzheimer disease,alzheimer,TP53INP1,ENSG00000164938,0.6076828837394714,2,0.6005158646893287,0.010065296413967847,0.010471773533533266,ACC sup L;OFClat L
Alzheimer disease,alzheimer,CD2AP,ENSG00000198087,0.559490442276001,1,0.7712438640817881,0.0119017130030159,0.0119017130030159,Thal AV R
Alzheimer disease,alzheimer,SEC61G,ENSG00000132432,0.5553086400032043,1,0.7489975020541721,0.011472019584165974,0.011472019584165974,Temporal Pole Mid L
Alzheimer disease,alzheimer,TOMM40,ENSG00000130204,0.4783704280853271,1,0.8439597374345429,0.011135536163530713,0.011135536163530713,Thal AV R
Amyotrophic lateral sclerosis,als,SOD1,ENSG00000142168,0.9120930433273317,10,0.5964608620026082,0.0506234048608604,0.0701163162497895,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,MOBP,ENSG00000168314,0.7929947972297668,10,0.6810835127855195,0.05025750933360869,0.06240601710027974,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,TBK1,ENSG00000183735,0.8616788983345032,10,0.5775271576465281,0.04630715775798107,0.05745264327487681,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,MOB3B,ENSG00000120162,0.7585468888282776,10,0.6436912536135828,0.04543497529040549,0.06183513651000952,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,FCHO1,ENSG00000130475,0.7707341909408569,10,0.6165727274972876,0.04422004630584049,0.06267117181414071,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,TNIP1,ENSG00000145901,0.7170587778091431,10,0.6558887523961638,0.04376381733567006,0.05474499007323297,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,GPX3,ENSG00000211445,0.7938594222068787,10,0.5711105289053302,0.04218849444726005,0.06483798372218742,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,C9orf72,ENSG00000147894,0.6194552779197693,10,0.6828239461455745,0.03935944423239414,0.047037833648742505,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,LINGO2,ENSG00000174482,0.6682031750679016,10,0.5687938676433669,0.035366631481916794,0.04924554339302123,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,G2E3,ENSG00000092140,0.5794705748558044,10,0.5647627456169514,0.030452831906939058,0.04011133183204074,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,SLC9A8,ENSG00000197818,0.5050204396247864,10,0.47582076040153637,0.022360556044445565,0.03132310348893036,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,KIF5A,ENSG00000155980,0.4249000549316406,10,0.5558376220365419,0.02197682666050888,0.028318850799554787,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,ERGIC1,ENSG00000113719,0.4156693518161773,10,0.5452365585802437,0.021089351673647675,0.033923425105712904,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,NEK1,ENSG00000137601,0.3487244248390198,10,0.6144270358096867,0.019938061923744012,0.024240898497218236,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,SCFD1,ENSG00000092108,0.3330872654914856,10,0.47511958145844824,0.01472621767136707,0.02180375469662084,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,SPATA2,ENSG00000158480,0.3035515248775482,10,0.4939381619718476,0.013951961106526634,0.017335017278338312,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,UNC13A,ENSG00000130477,0.3249877095222473,10,0.4442333495262384,0.013434093065456,0.020597535021198606,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,CLCN3,ENSG00000109572,0.1843371987342834,10,0.5853621071543054,0.010040789110963117,0.012643339895840969,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,RNF114,ENSG00000124226,0.1660279333591461,10,0.5355515282161802,0.008273945991295316,0.010797239270443725,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Amyotrophic lateral sclerosis,als,SCAF4,ENSG00000156304,0.1104418262839317,10,0.5077294847296595,0.005217905634958774,0.006528541075712721,Cerebellum 8 R;Cuneus L;Frontal Sup 2 R;LC L;Occipital Inf L;Occipital Inf R;Occipital Mid R;Raphe M;Thal LGN R;Thal VPL R
Attention deficit-hyperactivity disorder,adhd,TMEM200C,ENSG00000206432,0.8835017681121826,10,0.6598189026859855,0.04715868927694211,0.05456756467391991,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,CDH8,ENSG00000150394,0.8197944164276123,10,0.6724576465334408,0.04459636302468155,0.050994766916023844,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,DUSP6,ENSG00000139318,0.7847304344177246,10,0.6554646990849136,0.0416101568767111,0.04968971112419748,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,FOXP1,ENSG00000114861,0.8484383821487427,10,0.603214236026935,0.04140201127646671,0.05058058337390561,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,FOXP2,ENSG00000128573,0.8393036723136902,10,0.5993106801932307,0.04069121805670274,0.04739734930593748,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,LSM6,ENSG00000164167,0.7709957957267761,10,0.6130204011434455,0.038234594401459356,0.04506217430936262,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,ANO10,ENSG00000160746,0.7716673016548157,10,0.6002304879733665,0.037469482829727875,0.04537869448292706,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,VGLL3,ENSG00000206538,0.803250789642334,10,0.5609261632504451,0.036449066338238405,0.04197443686224519,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,RUNX1T1,ENSG00000079102,0.6731486320495605,10,0.6031070896702263,0.03284240489893559,0.037363831916124385,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,ZEB2,ENSG00000169554,0.6114738583564758,10,0.4838820368999778,0.023935744739387255,0.02799200616166224,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,PTPRF,ENSG00000142949,0.470701664686203,10,0.6248274507838416,0.02379224291357879,0.0291531063048964,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,DCC,ENSG00000187323,0.5743367075920105,10,0.48495724130527684,0.022531991175324607,0.027648331895662386,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,TMEM161B,ENSG00000164180,0.5181738138198853,10,0.5132018656092249,0.02151261664094965,0.025120220891872335,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,COL19A1,ENSG00000082293,0.5280703902244568,10,0.4547056618876826,0.0194245840708411,0.023154986069890394,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
