disease,disease_id,gene_set,region,region_id,score,number_of_genes,analysis_scale
Parkinson disease,parkinson,broad,Precuneus R,72,0.49305406088451015,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Paracentral Lobule L,73,0.5058161830124009,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Paracentral Lobule R,74,0.5227685755982862,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Caudate L,75,0.46640037885617186,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Caudate R,76,0.4731063416828029,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Putamen L,77,0.481153492980649,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Putamen R,78,0.5003074909550069,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Pallidum L,79,0.5043601019139669,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Pallidum R,80,0.501580419098126,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Heschl L,83,0.5263266544141402,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Heschl R,84,0.5236351830845313,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Temporal Sup L,85,0.5034994312984176,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Temporal Sup R,86,0.5035134323157381,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Temporal Pole Sup L,87,0.4933081401824229,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Temporal Pole Sup R,88,0.5248109631251153,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Temporal Mid L,89,0.49428186422111375,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Temporal Mid R,90,0.505773261224906,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Temporal Pole Mid L,91,0.5120800126440723,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Temporal Inf L,93,0.49879400319362505,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Temporal Inf R,94,0.5071036863378642,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum Crus1 L,95,0.49466949640571617,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum Crus1 R,96,0.5331709850548261,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum Crus2 L,97,0.490045929762947,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum Crus2 R,98,0.5211412367810447,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum 4 5 L,101,0.5428256547085529,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum 4 5 R,102,0.5486448756494278,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum 6 L,103,0.5177890320631001,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum 6 R,104,0.4999076693772667,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum 7b L,105,0.486873104909992,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum 7b R,106,0.4959918701310775,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum 8 L,107,0.496371293707437,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum 8 R,108,0.4981490916733599,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum 9 L,109,0.48304854311991263,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum 9 R,110,0.48767565266477314,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Cerebellum 10 L,111,0.535895689268353,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Vermis 8,118,0.5259947618711901,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Vermis 9,119,0.49251267218345757,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal AV L,121,0.5220227960566357,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal AV R,122,0.503147948314071,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal VA L,125,0.5228920380739639,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal VL L,127,0.5099115152451582,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal VL R,128,0.5281701056429762,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal VPL L,129,0.5143902068362305,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal VPL R,130,0.5306508287258311,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal IL L,131,0.5479696702290494,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal MDm L,135,0.44916020340461427,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal MDm R,136,0.5138013877603812,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal MDl L,137,0.4961268226477405,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal LGN L,139,0.5335024543312892,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal LGN R,140,0.5426463132109661,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal MGN L,141,0.5650683616066453,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal PuI L,143,0.5621284235664139,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal PuI R,144,0.5395538171419695,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal PuM L,145,0.5317578706636388,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal PuM R,146,0.5258686480335911,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal PuA L,147,0.531359877078257,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Thal PuA R,148,0.5112707166959396,123,raw_scale_analysis
Parkinson disease,parkinson,broad,ACC pre L,153,0.47538841464782033,123,raw_scale_analysis
Parkinson disease,parkinson,broad,ACC pre R,154,0.5341722630339706,123,raw_scale_analysis
Parkinson disease,parkinson,broad,ACC sup L,155,0.4868926404980335,123,raw_scale_analysis
Parkinson disease,parkinson,broad,ACC sup R,156,0.5121914833963584,123,raw_scale_analysis
Parkinson disease,parkinson,broad,N Acc L,157,0.5146252791058787,123,raw_scale_analysis
Parkinson disease,parkinson,broad,N Acc R,158,0.5221471174722748,123,raw_scale_analysis
Parkinson disease,parkinson,broad,SN pc L,161,0.5333927649823768,123,raw_scale_analysis
Parkinson disease,parkinson,broad,SN pr L,163,0.5217205138112694,123,raw_scale_analysis
Parkinson disease,parkinson,broad,SN pr R,164,0.506596120319559,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Red N L,165,0.5057410903334201,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Red N R,166,0.5391685492813293,123,raw_scale_analysis
Parkinson disease,parkinson,broad,LC L,167,0.5028916291899079,123,raw_scale_analysis
Parkinson disease,parkinson,broad,LC R,168,0.44578659196042403,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Raphe D,169,0.48667570855859754,123,raw_scale_analysis
Parkinson disease,parkinson,broad,Raphe M,170,0.4951365355853581,123,raw_scale_analysis
Parkinson disease,parkinson,stringent,Precentral L,1,0.5030694380856986,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Precentral R,2,0.48359543651986764,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Frontal Sup 2 L,3,0.4996462733010145,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Frontal Sup 2 R,4,0.5225453668714447,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Frontal Mid 2 L,5,0.504354455652558,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Frontal Mid 2 R,6,0.501440216479564,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Frontal Inf Oper L,7,0.5106954198594762,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Frontal Inf Oper R,8,0.47739130032476473,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Frontal Inf Tri L,9,0.5189628396475071,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Frontal Inf Tri R,10,0.5045015055921557,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Frontal Inf Orb 2 L,11,0.5310624687156228,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Frontal Inf Orb 2 R,12,0.5015060406500771,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Rolandic Oper L,13,0.5079539802531288,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Rolandic Oper R,14,0.5223310287442271,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Supp Motor Area L,15,0.48341689768649054,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Supp Motor Area R,16,0.4941129022297777,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Olfactory L,17,0.5063133604452564,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Olfactory R,18,0.483284869574119,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Frontal Sup Medial L,19,0.5293170495402265,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Frontal Sup Medial R,20,0.5555028770567366,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Frontal Med Orb L,21,0.5405938406077917,34,raw_scale_analysis
