donor_1,donor_2,score_method,pearson_r,n_common_regions
10021,12876,broad,0.23445255258186043,56
10021,12876,stringent,0.28599963929142674,56
10021,12876,weighted,0.2963762566084693,56
10021,14380,broad,0.13892397753670754,59
10021,14380,stringent,0.19806322066597962,59
10021,14380,weighted,0.12721741512707122,59
10021,15496,broad,0.2713106774853957,56
10021,15496,stringent,0.367616790076089,56
10021,15496,weighted,0.2882107388243804,56
10021,15697,broad,0.2534839392125768,57
10021,15697,stringent,0.24599969396613375,57
10021,15697,weighted,0.24738658231894559,57
10021,9861,broad,0.10424570794563423,123
10021,9861,stringent,0.33202864065339593,123
10021,9861,weighted,0.19836004275865438,123
12876,14380,broad,0.20128197774940698,58
12876,14380,stringent,0.30042443795828583,58
12876,14380,weighted,0.29424347915117216,58
12876,15496,broad,0.2571879440456041,55
12876,15496,stringent,0.2351817321838348,55
12876,15496,weighted,0.3191911907596601,55
12876,15697,broad,0.19055044373573163,55
12876,15697,stringent,0.31233929517558195,55
12876,15697,weighted,0.288610748610262,55
12876,9861,broad,0.37728056707518653,56
12876,9861,stringent,0.47068503495924036,56
12876,9861,weighted,0.4520794686466858,56
14380,15496,broad,0.4363222813137545,57
14380,15496,stringent,0.5251711515799126,57
14380,15496,weighted,0.5585215709619803,57
14380,15697,broad,0.04791734348312244,57
14380,15697,stringent,0.2590484579917661,57
14380,15697,weighted,0.10791625214659231,57
14380,9861,broad,-0.12983491069251527,59
14380,9861,stringent,0.1656762131583035,59
14380,9861,weighted,-0.014650757475480905,59
15496,15697,broad,0.04570184478572151,56
15496,15697,stringent,0.2880188253721453,56
15496,15697,weighted,0.1292601978209996,56
15496,9861,broad,-0.07954593036548241,55
15496,9861,stringent,0.47888612281946835,55
15496,9861,weighted,0.25913577938229915,55
15697,9861,broad,0.17482986941874176,59
15697,9861,stringent,0.353176335251051,59
15697,9861,weighted,0.2204797636164361,59
