cell_type,cell_type_class,gene,nCPM,specificity_log2_ratio,marker_rank
Bergmann glia,Glial cells,ALDH1A1,1353.3,5.796494639605955,1
Bergmann glia,Glial cells,TIMP4,138.4,5.756393643540915,2
Bergmann glia,Glial cells,COL22A1,226.2,5.318391887443079,3
Bergmann glia,Glial cells,LCAT,364.4,5.227258176508262,4
Bergmann glia,Glial cells,FAM181B,422.0,5.0502038668035105,5
Bergmann glia,Glial cells,BLM,286.6,4.943187305760972,6
Bergmann glia,Glial cells,ADAMTSL1,3673.3,4.9147039310558975,7
Bergmann glia,Glial cells,GLI1,41.3,4.835217317526169,8
Bergmann glia,Glial cells,ELOVL2,348.1,4.833322124727748,9
Bergmann glia,Glial cells,STON1,386.3,4.697428992887839,10
Bergmann glia,Glial cells,LGR6,226.5,4.655916910749775,11
Bergmann glia,Glial cells,SLC4A4,4574.7,4.5953154359721315,12
Bergmann glia,Glial cells,SMTN,246.5,4.544879979972938,13
Bergmann glia,Glial cells,PDLIM3,446.7,4.474223083704305,14
Bergmann glia,Glial cells,NDRG2,875.3,4.452478857995531,15
Bergmann glia,Glial cells,TSPAN11,131.3,4.415401035891802,16
Bergmann glia,Glial cells,ALDH1L1,281.3,4.350692388583445,17
Bergmann glia,Glial cells,SLC1A3,5853.4,4.336150471576703,18
Bergmann glia,Glial cells,ATP10B,948.7,4.327467340741125,19
Bergmann glia,Glial cells,KCNJ16,224.9,4.2577144585825,20
Bergmann glia,Glial cells,FXYD1,336.8,4.221866209849048,21
Bergmann glia,Glial cells,SRPX,204.6,4.1920376734247595,22
Bergmann glia,Glial cells,HEPN1,306.2,4.174286312791646,23
Bergmann glia,Glial cells,RGS20,532.1,4.1717713441152755,24
Bergmann glia,Glial cells,RGCC,596.0,4.13528198640872,25
Bergmann glia,Glial cells,TJP2,370.8,4.12950644537995,26
Bergmann glia,Glial cells,BMPR1B,1335.1,4.107123875937023,27
Bergmann glia,Glial cells,CDC42EP4,319.5,4.104835991132154,28
Bergmann glia,Glial cells,TUBB2B,539.4,4.088992650568117,29
Bergmann glia,Glial cells,TTPA,154.2,4.035590107525008,30
Bergmann glia,Glial cells,PCSK6,1017.2,3.9996823042483927,31
Bergmann glia,Glial cells,CYP2J2,181.5,3.976830835545819,32
Bergmann glia,Glial cells,TST,62.7,3.946973834809545,33
Bergmann glia,Glial cells,VIT,142.4,3.9307754465316393,34
Bergmann glia,Glial cells,COL23A1,282.8,3.9256359176503945,35
Bergmann glia,Glial cells,KCNE5,23.0,3.8717999311401563,36
Bergmann glia,Glial cells,RAB34,104.0,3.868071346717991,37
Bergmann glia,Glial cells,PLA2G5,68.1,3.867757281604734,38
Bergmann glia,Glial cells,LGI4,299.6,3.8555034416135188,39
Bergmann glia,Glial cells,IL33,76.4,3.8469805662234577,40
Bergmann glia,Glial cells,GDF10,44.6,3.8125413687729393,41
Bergmann glia,Glial cells,NHSL1,1279.1,3.806436524454606,42
Bergmann glia,Glial cells,HSD17B6,55.7,3.780088056288611,43
Bergmann glia,Glial cells,PLEKHH2,524.0,3.758752351977631,44
Bergmann glia,Glial cells,CLDN10,95.4,3.7551596317579543,45
Bergmann glia,Glial cells,BCAT2,379.8,3.70994242039966,46
Bergmann glia,Glial cells,GPR37L1,238.4,3.7054520663162234,47
Bergmann glia,Glial cells,CCDC80,101.1,3.685911888291014,48
Bergmann glia,Glial cells,BTBD17,30.9,3.6823266336178766,49
Bergmann glia,Glial cells,S1PR1,82.6,3.6816323069625136,50
Bergmann glia,Glial cells,IRX5,26.8,3.681535760416209,51
Bergmann glia,Glial cells,FGFR2,1277.6,3.677411464744082,52
Bergmann glia,Glial cells,PHYHD1,83.0,3.671176795774237,53
Bergmann glia,Glial cells,RNF182,267.8,3.6646032000850983,54
Bergmann glia,Glial cells,IRX1,43.3,3.653162654508943,55
Bergmann glia,Glial cells,HES5,84.6,3.652076696579694,56
Bergmann glia,Glial cells,ENHO,208.9,3.619936722275677,57
Bergmann glia,Glial cells,HIF3A,553.0,3.6091217736456356,58
Bergmann glia,Glial cells,MLC1,154.2,3.602305655266447,59
Bergmann glia,Glial cells,ASB18,81.3,3.5927923983259236,60
Bergmann glia,Glial cells,PHF21B,294.1,3.584651426614814,61
Bergmann glia,Glial cells,ID4,315.6,3.5822309851543586,62
Bergmann glia,Glial cells,FAM107A,228.4,3.552065932887337,63
Bergmann glia,Glial cells,FAM167A,54.9,3.544476939843273,64
Bergmann glia,Glial cells,ACBD7,40.3,3.5225037962318955,65
Bergmann glia,Glial cells,PTCH1,439.3,3.470835515079567,66
Bergmann glia,Glial cells,ZIC3,33.5,3.451092317724568,67
Bergmann glia,Glial cells,MDK,65.8,3.450818488332589,68
Bergmann glia,Glial cells,FGFR3,251.7,3.447869525945717,69
Bergmann glia,Glial cells,WFDC1,110.6,3.4465618183862556,70
Bergmann glia,Glial cells,MAP2K6,648.5,3.4338198893088743,71
Bergmann glia,Glial cells,ETNPPL,207.2,3.415751611180192,72
Bergmann glia,Glial cells,MCC,974.4,3.4144848175243165,73
Bergmann glia,Glial cells,SLC13A5,28.8,3.411813598404558,74
Bergmann glia,Glial cells,LRRC8A,222.3,3.3949923198627463,75
Bergmann glia,Glial cells,SERPINE2,536.0,3.394982041466399,76
Bergmann glia,Glial cells,TTYH1,451.6,3.3887286272940957,77
Bergmann glia,Glial cells,MT3,792.2,3.379305512414436,78
Bergmann glia,Glial cells,S100B,839.6,3.3699308869460816,79
Bergmann glia,Glial cells,SDS,28.5,3.318227926044771,80
Bergmann glia,Glial cells,NKX2-2,101.1,3.3177806350724532,81
Bergmann glia,Glial cells,GRID2,18167.2,3.297281840711046,82
Bergmann glia,Glial cells,GSTM5,38.4,3.2968485925361533,83
Bergmann glia,Glial cells,PREX2,1960.0,3.296318301116696,84
Bergmann glia,Glial cells,APOE,1030.8,3.2721797994651203,85
Bergmann glia,Glial cells,LFNG,64.1,3.2667865406949015,86
Bergmann glia,Glial cells,TRIL,79.6,3.2576421185397333,87
Bergmann glia,Glial cells,IL17RB,86.5,3.247203225047347,88
Bergmann glia,Glial cells,ATP1A4,16.4,3.2441636317342306,89
Bergmann glia,Glial cells,HEPACAM,279.6,3.2438124258962757,90
Bergmann glia,Glial cells,TLCD1,14.9,3.2383360019193006,91
Bergmann glia,Glial cells,TRIB2,224.2,3.219754668859859,92
Bergmann glia,Glial cells,KLF15,59.6,3.2181183354036205,93
Bergmann glia,Glial cells,SCARA3,117.1,3.207160085161063,94
Bergmann glia,Glial cells,COL8A1,302.0,3.2052859776675686,95
Bergmann glia,Glial cells,RGMA,280.0,3.1776937741250952,96
Bergmann glia,Glial cells,GLUL,673.0,3.1764976553657984,97
Bergmann glia,Glial cells,ARHGEF26,418.7,3.1755609030333543,98
Bergmann glia,Glial cells,SPRY1,111.0,3.175086706558091,99
Bergmann glia,Glial cells,SYPL2,21.5,3.156002625209943,100
Bergmann glia,Glial cells,SFXN5,887.5,3.152815193123622,101
Bergmann glia,Glial cells,PLSCR4,330.9,3.137996242521514,102
Bergmann glia,Glial cells,PON2,513.7,3.137596959522183,103
Bergmann glia,Glial cells,LGALS3,129.2,3.136765005668341,104
Bergmann glia,Glial cells,RHOJ,349.5,3.1216479231087844,105
Bergmann glia,Glial cells,PAX6,113.2,3.114941369097843,106
Bergmann glia,Glial cells,ANKDD1A,431.1,3.1145163680542187,107
Bergmann glia,Glial cells,GABRG1,350.0,3.1099824609860303,108
Bergmann glia,Glial cells,ROBO3,108.8,3.1016873444059634,109
Bergmann glia,Glial cells,PIK3C2A,1081.8,3.092486149299507,110
Bergmann glia,Glial cells,PLPP3,310.9,3.0908096990656952,111
Bergmann glia,Glial cells,MGST1,723.2,3.087668104826255,112
Bergmann glia,Glial cells,STK17A,365.7,3.0806476488868015,113
Bergmann glia,Glial cells,EDNRB,203.3,3.071660985127447,114
Bergmann glia,Glial cells,ANGPT1,398.6,3.065670778988869,115
Bergmann glia,Glial cells,TSC22D4,345.9,3.0521085270038455,116
Bergmann glia,Glial cells,AMER2,341.1,3.0243963571141608,117
Bergmann glia,Glial cells,CABLES1,442.8,3.021816271383244,118
Bergmann glia,Glial cells,METRN,446.0,3.0187231386750604,119
Bergmann glia,Glial cells,PRTG,195.3,3.0161924859615024,120
Bergmann glia,Glial cells,ARHGAP31,573.8,3.0132951324408013,121
Bergmann glia,Glial cells,IL17D,142.6,3.0035358696073167,122
Bergmann glia,Glial cells,ADORA2B,42.2,3.003242012692152,123
Bergmann glia,Glial cells,PNP,33.0,3.000514421485532,124
Bergmann glia,Glial cells,FAM181A,20.6,3.0,125
Bergmann glia,Glial cells,IZUMO4,55.6,2.993065064161828,126
Bergmann glia,Glial cells,CDH20,2215.0,2.9891978385181313,127
Bergmann glia,Glial cells,GYG1,169.6,2.9823242495751248,128
Bergmann glia,Glial cells,TOGARAM2,506.7,2.9821058388153023,129
Bergmann glia,Glial cells,GJA1,287.4,2.966023055805582,130
Bergmann glia,Glial cells,SCG3,499.0,2.957338684815078,131
Bergmann glia,Glial cells,DTNA,5440.0,2.9486418261971634,132
Bergmann glia,Glial cells,LAMA2,3075.9,2.9390295623717733,133
Bergmann glia,Glial cells,KLHDC8A,117.1,2.9274141923010464,134
Bergmann glia,Glial cells,GAREM2,40.2,2.923539724484068,135
Bergmann glia,Glial cells,RASSF4,323.9,2.9234961137972846,136
Bergmann glia,Glial cells,NTNG2,126.1,2.9220355057534575,137
Bergmann glia,Glial cells,SERPINI2,313.9,2.921394793026896,138
Bergmann glia,Glial cells,KREMEN1,158.8,2.9110412927824485,139
Bergmann glia,Glial cells,NPAS3,7724.8,2.8998592735891764,140
Bergmann glia,Glial cells,CARMIL1,1405.6,2.894829030084792,141
Bergmann glia,Glial cells,SPX,26.4,2.890943791698768,142
Bergmann glia,Glial cells,PREX1,548.2,2.8850739863629333,143
Bergmann glia,Glial cells,NKAIN4,93.8,2.880229739943426,144
Bergmann glia,Glial cells,XYLT1,1956.0,2.8715723854208135,145
Bergmann glia,Glial cells,LGR4,615.4,2.869743818148746,146
Bergmann glia,Glial cells,LIFR,904.8,2.8620288246638204,147
Bergmann glia,Glial cells,ST3GAL6,728.9,2.8562465538746418,148
Bergmann glia,Glial cells,DAB2,32.9,2.8524141537052285,149
Bergmann glia,Glial cells,SLC7A10,29.2,2.84296797470214,150
Bergmann glia,Glial cells,RUBCNL,147.7,2.836488667705409,151
Bergmann glia,Glial cells,PIRT,25.7,2.8336270231416334,152
Bergmann glia,Glial cells,FJX1,52.4,2.8336270231416325,153
Bergmann glia,Glial cells,WIF1,99.0,2.8077484380051883,154
Bergmann glia,Glial cells,VAT1L,715.7,2.798979707731789,155
Bergmann glia,Glial cells,LAMA4,540.3,2.792306417129384,156
Bergmann glia,Glial cells,ARHGEF28,563.2,2.7886551036669154,157
Bergmann glia,Glial cells,WDR49,657.4,2.7868573391150417,158
Bergmann glia,Glial cells,PTN,1231.5,2.7858293276786363,159
Bergmann glia,Glial cells,EFEMP1,304.7,2.7826974732242493,160
Bergmann glia,Glial cells,ACSS1,224.1,2.7810659916596676,161
Bergmann glia,Glial cells,MEIKIN,188.5,2.77929928631022,162
Bergmann glia,Glial cells,KCNJ10,102.9,2.7644495672863654,163
Bergmann glia,Glial cells,AHCYL1,637.3,2.7637345473551216,164
Bergmann glia,Glial cells,FGF2,186.9,2.7612182669715453,165
Bergmann glia,Glial cells,DGKG,1684.0,2.760938321046185,166
Bergmann glia,Glial cells,ZIC1,665.5,2.757610558562435,167
Bergmann glia,Glial cells,IRX3,23.5,2.7438220976060026,168
Bergmann glia,Glial cells,SMAD9,246.9,2.7355613283037696,169
Bergmann glia,Glial cells,C4orf19,169.8,2.724156352773291,170
Bergmann glia,Glial cells,RFTN2,484.0,2.721811754481944,171
Bergmann glia,Glial cells,S100A16,38.2,2.7121976890172643,172
Bergmann glia,Glial cells,MICALL2,159.1,2.705089342188274,173
Bergmann glia,Glial cells,CTH,74.3,2.7034328323084886,174
Bergmann glia,Glial cells,SLC12A4,43.6,2.6841621362944523,175
Bergmann glia,Glial cells,PPP1R1B,163.4,2.678561289676246,176
Bergmann glia,Glial cells,CHST7,49.7,2.669937629743748,177
Bergmann glia,Glial cells,CNTFR,81.1,2.6548407217131977,178
Bergmann glia,Glial cells,CTSH,78.6,2.653458257653325,179
Bergmann glia,Glial cells,POU3F1,35.7,2.6474044499904306,180
Bergmann glia,Glial cells,CRB2,66.1,2.642586254659949,181
Bergmann glia,Glial cells,ACSBG1,151.9,2.6424486927617132,182
Bergmann glia,Glial cells,ZFYVE21,180.0,2.636748413098605,183
Bergmann glia,Glial cells,GPRC5B,350.8,2.633797541392226,184
Bergmann glia,Glial cells,DDIT4L,15.1,2.6254415700762266,185
Bergmann glia,Glial cells,ESRRG,2637.2,2.6196180684054853,186
Bergmann glia,Glial cells,GABRA2,1113.2,2.619147517240222,187
Bergmann glia,Glial cells,RFX2,399.2,2.6183138149887264,188
Bergmann glia,Glial cells,ATP13A4,342.5,2.6176703694895886,189
Bergmann glia,Glial cells,NCKAP5,1724.0,2.6165858699420617,190
Bergmann glia,Glial cells,CTNNA3,2815.9,2.6140034732144555,191
Bergmann glia,Glial cells,PIPOX,57.2,2.610425160500086,192
Bergmann glia,Glial cells,SPRY2,157.4,2.6063163786815413,193
Bergmann glia,Glial cells,WNT3,57.0,2.599964664060403,194
Bergmann glia,Glial cells,TNFRSF11B,32.6,2.599872182388497,195
Bergmann glia,Glial cells,SHISAL2A,29.5,2.599223193846326,196
Bergmann glia,Glial cells,VSX1,22.4,2.5973462251769885,197
Bergmann glia,Glial cells,CASTOR1,24.4,2.594286953552358,198
Bergmann glia,Glial cells,PHGDH,61.5,2.5940142392874126,199
Bergmann glia,Glial cells,CCS,206.2,2.589019290855466,200
CGE interneuron,Neuronal cells,VIP,396.1,7.348629073703993,1
CGE interneuron,Neuronal cells,CXCL14,1651.6,7.070290922027374,2
CGE interneuron,Neuronal cells,TAC3,111.6,4.694550209875633,3
CGE interneuron,Neuronal cells,CRH,168.6,4.5184670889342495,4
CGE interneuron,Neuronal cells,DLX1,84.9,4.3151750095305195,5
CGE interneuron,Neuronal cells,CCK,1498.4,4.205685372466962,6
CGE interneuron,Neuronal cells,SLC10A4,42.9,4.115112116812928,7
CGE interneuron,Neuronal cells,KMO,71.0,4.069660877968884,8
CGE interneuron,Neuronal cells,RELN,1703.7,3.790230812352025,9
CGE interneuron,Neuronal cells,CNR1,892.7,3.78127900105487,10
CGE interneuron,Neuronal cells,ADARB2,6682.1,3.641354896789032,11
CGE interneuron,Neuronal cells,NR2E1,26.1,3.6049427209885985,12
CGE interneuron,Neuronal cells,SLC25A48,133.4,3.5365994791597575,13
CGE interneuron,Neuronal cells,NPAS1,71.4,3.4640886968275724,14
CGE interneuron,Neuronal cells,PRLHR,19.6,3.30253447383738,15
CGE interneuron,Neuronal cells,NPR3,29.3,3.2735476325164705,16
CGE interneuron,Neuronal cells,CHRNA2,27.8,3.2718046154615257,17
CGE interneuron,Neuronal cells,PTHLH,45.9,3.267684018198736,18
CGE interneuron,Neuronal cells,PROX1,244.6,3.1804298486579525,19
CGE interneuron,Neuronal cells,GRPR,19.2,3.1346495266947816,20
CGE interneuron,Neuronal cells,IGF1,256.9,3.082082296194015,21
CGE interneuron,Neuronal cells,DLX2,16.3,3.0360788511464496,22
CGE interneuron,Neuronal cells,HAPLN1,76.2,3.03461625528547,23
CGE interneuron,Neuronal cells,RGS12,657.8,2.9700267791038084,24
CGE interneuron,Neuronal cells,PRELID2,595.0,2.96178067776951,25
CGE interneuron,Neuronal cells,ADRA1B,144.7,2.9028006460252627,26
CGE interneuron,Neuronal cells,SHISA8,88.0,2.795272674855863,27
CGE interneuron,Neuronal cells,PKP2,136.5,2.696264731366567,28
CGE interneuron,Neuronal cells,CBLN4,72.3,2.678274704232304,29
CGE interneuron,Neuronal cells,PNOC,38.9,2.65328245932509,30
CGE interneuron,Neuronal cells,CHRNA7,144.7,2.647416231820173,31
CGE interneuron,Neuronal cells,SCG2,475.9,2.5680931591330016,32
CGE interneuron,Neuronal cells,ARSF,17.4,2.565141059808412,33
CGE interneuron,Neuronal cells,ELFN1,30.9,2.5641452072695627,34
CGE interneuron,Neuronal cells,ARL4C,271.4,2.535831438224508,35
CGE interneuron,Neuronal cells,SLC32A1,50.6,2.5034326152245585,36
CGE interneuron,Neuronal cells,AP1S2,286.9,2.4532644650587847,37
CGE interneuron,Neuronal cells,ARX,50.4,2.443150831178179,38
CGE interneuron,Neuronal cells,TNFAIP8L3,56.2,2.4385649684857422,39
CGE interneuron,Neuronal cells,ERBB4,8806.8,2.4374302544049287,40
CGE interneuron,Neuronal cells,CALB2,159.7,2.4345109119269464,41
CGE interneuron,Neuronal cells,LRRC39,119.5,2.4286340032701643,42
CGE interneuron,Neuronal cells,NECAB2,89.7,2.4076176382821135,43
CGE interneuron,Neuronal cells,GAD2,533.6,2.3864658884266037,44
CGE interneuron,Neuronal cells,FREM1,258.3,2.3761093855179465,45
CGE interneuron,Neuronal cells,NDNF,34.8,2.3589112008298643,46
CGE interneuron,Neuronal cells,PCDH8,75.5,2.3534147304664277,47
CGE interneuron,Neuronal cells,SLC17A8,16.4,2.3375904957024995,48
CGE interneuron,Neuronal cells,KIT,325.6,2.3363630355888976,49
CGE interneuron,Neuronal cells,GAD1,438.2,2.322834194687118,50
CGE interneuron,Neuronal cells,VSTM2A,64.0,2.293622725667217,51
CGE interneuron,Neuronal cells,NPBWR1,7.1,2.2809563138310565,52
CGE interneuron,Neuronal cells,TCIM,27.8,2.2492563640561385,53
CGE interneuron,Neuronal cells,ENTPD3,185.4,2.2481386138035604,54
CGE interneuron,Neuronal cells,POU3F4,21.3,2.222327074488249,55
CGE interneuron,Neuronal cells,NNMT,27.7,2.2093010460341413,56
CGE interneuron,Neuronal cells,PCP4L1,72.6,2.1902032803932463,57
CGE interneuron,Neuronal cells,GRIN2D,74.5,2.185293402865516,58
CGE interneuron,Neuronal cells,NRIP3,202.5,2.1708275723258237,59
CGE interneuron,Neuronal cells,LAMA3,132.3,2.122501858016224,60
CGE interneuron,Neuronal cells,FBN3,12.9,2.113486642631399,61
CGE interneuron,Neuronal cells,ASIC4,37.7,2.112129764738074,62
CGE interneuron,Neuronal cells,IL1RAPL2,416.9,2.0730720215112455,63
CGE interneuron,Neuronal cells,SYNPR,1100.3,2.050005236071782,64
CGE interneuron,Neuronal cells,CHRNA4,31.8,2.0389064937200225,65
CGE interneuron,Neuronal cells,FXYD6,10.2,2.036365745602519,66
CGE interneuron,Neuronal cells,GRIP1,2583.8,2.034132909186652,67
CGE interneuron,Neuronal cells,ADRA1D,14.8,2.0330253052792555,68
CGE interneuron,Neuronal cells,PARM1,133.0,2.0137681553276905,69
CGE interneuron,Neuronal cells,VWC2,408.7,2.0072851384248094,70
CGE interneuron,Neuronal cells,CCNG2,85.3,2.00522725360222,71
CGE interneuron,Neuronal cells,EGFR,314.5,2.00237145143964,72
CGE interneuron,Neuronal cells,B3GALT2,79.3,1.9973347379829467,73
CGE interneuron,Neuronal cells,SCTR,5.9,1.9905272473797178,74
CGE interneuron,Neuronal cells,TOX3,205.8,1.9848587551168229,75
CGE interneuron,Neuronal cells,FGF13,739.4,1.9822306004168178,76
CGE interneuron,Neuronal cells,SYCE1L,22.4,1.9810681839896245,77
CGE interneuron,Neuronal cells,CHRNA6,10.7,1.95041797114944,78
CGE interneuron,Neuronal cells,PTCHD4,540.6,1.9478093614436958,79
CGE interneuron,Neuronal cells,GLRA2,144.9,1.9430961188247071,80
CGE interneuron,Neuronal cells,FRMPD3,50.6,1.9298850453866978,81
CGE interneuron,Neuronal cells,FLRT1,31.7,1.9132215212122692,82
CGE interneuron,Neuronal cells,PLD5,718.9,1.9042558928266335,83
CGE interneuron,Neuronal cells,KCNC2,1174.1,1.9032093427257324,84
CGE interneuron,Neuronal cells,ZNF536,854.9,1.8950102779996656,85
CGE interneuron,Neuronal cells,TMEM200C,31.3,1.894458284811855,86
CGE interneuron,Neuronal cells,IGF2BP3,21.5,1.8780357329363333,87
CGE interneuron,Neuronal cells,ARHGAP28,89.3,1.8680925548684768,88
CGE interneuron,Neuronal cells,SP9,12.0,1.8391459889726844,89
CGE interneuron,Neuronal cells,OPRK1,26.8,1.82627085339722,90
CGE interneuron,Neuronal cells,TP53I11,44.0,1.8083267611249294,91
CGE interneuron,Neuronal cells,NAP1L3,132.9,1.8071100696205522,92
CGE interneuron,Neuronal cells,CCDC85A,596.5,1.8060677351850516,93
CGE interneuron,Neuronal cells,NETO2,319.6,1.801971814238001,94
CGE interneuron,Neuronal cells,SVEP1,153.0,1.7963679971836932,95
CGE interneuron,Neuronal cells,DNMT3B,14.9,1.7807927278459577,96
CGE interneuron,Neuronal cells,KCNIP1,513.6,1.7780518422611995,97
CGE interneuron,Neuronal cells,THSD7A,668.7,1.7756309486649284,98
CGE interneuron,Neuronal cells,RAB3C,825.3,1.7588531249373158,99
CGE interneuron,Neuronal cells,AARD,9.6,1.7541143951084268,100
CGE interneuron,Neuronal cells,FSTL5,1411.4,1.7519063273339381,101
CGE interneuron,Neuronal cells,HMGB3,12.9,1.7339284505679804,102
CGE interneuron,Neuronal cells,NMBR,12.4,1.7311049427449636,103
CGE interneuron,Neuronal cells,ANKRD30B,81.7,1.723513099664669,104
CGE interneuron,Neuronal cells,GRIP2,111.6,1.7169671137001188,105
CGE interneuron,Neuronal cells,NXPH2,192.4,1.7122823399368599,106
CGE interneuron,Neuronal cells,DNER,791.8,1.7058387391436678,107
CGE interneuron,Neuronal cells,CHRM3,1221.2,1.7056608359293846,108
CGE interneuron,Neuronal cells,MPPED1,131.4,1.705136145933174,109
CGE interneuron,Neuronal cells,GRIN3A,230.6,1.7018089157090917,110
CGE interneuron,Neuronal cells,MCUB,63.1,1.697254752793894,111
CGE interneuron,Neuronal cells,RPH3A,319.2,1.6861609400341577,112
CGE interneuron,Neuronal cells,TLE2,77.1,1.6752198993352898,113
CGE interneuron,Neuronal cells,CCDC184,24.1,1.674974909057526,114
CGE interneuron,Neuronal cells,SALL1,31.8,1.6714759867923166,115
CGE interneuron,Neuronal cells,CNTN5,3796.9,1.6662828725225725,116
CGE interneuron,Neuronal cells,PRRT4,12.5,1.664855301300996,117
CGE interneuron,Neuronal cells,HCRTR1,4.4,1.64953450201724,118
CGE interneuron,Neuronal cells,SERTM1,46.6,1.6425824083808942,119
CGE interneuron,Neuronal cells,BSPRY,13.3,1.641069183920106,120
CGE interneuron,Neuronal cells,B3GALT1,21.9,1.6410192180040508,121
CGE interneuron,Neuronal cells,LGI2,30.5,1.6353804077073795,122
CGE interneuron,Neuronal cells,LYPD6,91.1,1.625543456218688,123
CGE interneuron,Neuronal cells,ALK,363.7,1.6190220047777457,124
CGE interneuron,Neuronal cells,SLITRK4,93.1,1.6128265758039189,125
CGE interneuron,Neuronal cells,PPP1R1C,30.8,1.6044783162072933,126
CGE interneuron,Neuronal cells,RPP25,18.9,1.5975394125702604,127
CGE interneuron,Neuronal cells,NPTXR,214.9,1.596795935825675,128
CGE interneuron,Neuronal cells,ADRA1A,294.0,1.5951349349155912,129
CGE interneuron,Neuronal cells,CHRM1,22.8,1.5855136736183622,130
CGE interneuron,Neuronal cells,ZMAT4,517.3,1.5692331423642791,131
CGE interneuron,Neuronal cells,AMH,17.3,1.5615035278971672,132
CGE interneuron,Neuronal cells,PODXL2,141.3,1.5613771750094838,133
CGE interneuron,Neuronal cells,RGS8,40.2,1.5534751085524354,134
CGE interneuron,Neuronal cells,PDSS1,70.6,1.5520038064741108,135
CGE interneuron,Neuronal cells,TMEM132D,782.3,1.5516122278535491,136
CGE interneuron,Neuronal cells,SLC6A1,664.1,1.5507249092788078,137
CGE interneuron,Neuronal cells,KITLG,129.1,1.5459764339453357,138
CGE interneuron,Neuronal cells,SYNGR3,78.1,1.5447397027880407,139
CGE interneuron,Neuronal cells,CCNH,898.9,1.5438283128456896,140
CGE interneuron,Neuronal cells,TMEM132E,20.0,1.5425000805994415,141
CGE interneuron,Neuronal cells,MAFB,21.9,1.5260459028373135,142
CGE interneuron,Neuronal cells,GABRA1,343.4,1.5227275688829713,143
CGE interneuron,Neuronal cells,GRIN2A,1633.6,1.517160625713173,144
CGE interneuron,Neuronal cells,HRH3,50.3,1.513879402659674,145
CGE interneuron,Neuronal cells,C1QL2,12.3,1.5118990385314335,146
CGE interneuron,Neuronal cells,PLS3,148.0,1.5084246915075914,147
CGE interneuron,Neuronal cells,SLC29A4,48.8,1.5033052811520224,148
CGE interneuron,Neuronal cells,RGMB,76.5,1.497151284586456,149
CGE interneuron,Neuronal cells,LAMP5,91.5,1.4946916511871315,150
CGE interneuron,Neuronal cells,FGD5,41.2,1.492280498211304,151
CGE interneuron,Neuronal cells,DUSP4,19.0,1.4922630111046697,152
CGE interneuron,Neuronal cells,L3MBTL4,399.0,1.4733544684817528,153
CGE interneuron,Neuronal cells,MTUS2,1119.1,1.4680655731344725,154
CGE interneuron,Neuronal cells,PLPPR5,220.8,1.4658963635072213,155
CGE interneuron,Neuronal cells,GNG4,97.3,1.4627376049007823,156
CGE interneuron,Neuronal cells,FOXG1,70.5,1.4622929408953116,157
CGE interneuron,Neuronal cells,CYGB,28.6,1.461057190686339,158
CGE interneuron,Neuronal cells,LRRC2,31.0,1.4601832180504357,159
CGE interneuron,Neuronal cells,ALKAL1,3.0,1.4594316186372973,160
CGE interneuron,Neuronal cells,DIRAS1,44.8,1.4575952941260366,161
CGE interneuron,Neuronal cells,ZNF385D,1854.3,1.4470882151295008,162
CGE interneuron,Neuronal cells,ACADL,29.9,1.4389565562225215,163
CGE interneuron,Neuronal cells,NPB,8.0,1.4212035655264186,164
CGE interneuron,Neuronal cells,ZCCHC12,21.7,1.4171575511532133,165
CGE interneuron,Neuronal cells,TRPC3,153.1,1.4164661585696958,166
CGE interneuron,Neuronal cells,PRR16,478.9,1.4143240730517128,167
CGE interneuron,Neuronal cells,GABRB2,1030.8,1.40696170190374,168
CGE interneuron,Neuronal cells,YJEFN3,69.0,1.3988900767022463,169
CGE interneuron,Neuronal cells,SCN2B,52.1,1.3960890150223437,170
CGE interneuron,Neuronal cells,EYA4,216.6,1.3906533406518842,171
CGE interneuron,Neuronal cells,GPR12,29.7,1.3868807261253793,172
CGE interneuron,Neuronal cells,PRMT8,109.5,1.3863506947396333,173
CGE interneuron,Neuronal cells,HTR5A,16.7,1.3846501283823318,174
CGE interneuron,Neuronal cells,SCN7A,68.7,1.382028402180972,175
CGE interneuron,Neuronal cells,SRM,75.2,1.376058157157447,176
CGE interneuron,Neuronal cells,POU6F2,234.5,1.3721249411654388,177
CGE interneuron,Neuronal cells,GRIK2,3794.1,1.3711915493516218,178
CGE interneuron,Neuronal cells,SORCS3,534.8,1.3580033916902265,179
CGE interneuron,Neuronal cells,CAMK2N2,78.8,1.3537221774661823,180
CGE interneuron,Neuronal cells,GRIK1,1804.0,1.348394139000694,181
CGE interneuron,Neuronal cells,CILP2,2.2,1.3439544012173614,182
CGE interneuron,Neuronal cells,SEZ6L2,224.4,1.3433636976302,183
CGE interneuron,Neuronal cells,DRAXIN,6.7,1.3425138668581464,184
CGE interneuron,Neuronal cells,RXRA,50.0,1.3417800299830238,185
CGE interneuron,Neuronal cells,DCX,133.5,1.3367116931199057,186
CGE interneuron,Neuronal cells,CPLX2,134.1,1.336498596298314,187
CGE interneuron,Neuronal cells,ZBTB16,446.7,1.3349596134200046,188
CGE interneuron,Neuronal cells,ADCYAP1R1,72.9,1.3316926158222313,189
CGE interneuron,Neuronal cells,LRRC24,20.8,1.330779012469628,190
CGE interneuron,Neuronal cells,INPP4B,1567.2,1.3277411694140793,191
CGE interneuron,Neuronal cells,KCNJ12,15.3,1.3250157977307577,192
