disease_1,disease_2,metric,correlation,p_value,n_regions
Bipolar disorder,Major depressive disorder,spearman,0.2122176584343442,0.012459782888799264,138
Bipolar disorder,Migraine,pearson,0.046683249755319504,0.5866394435622024,138
Bipolar disorder,Migraine,spearman,0.03578400370785567,0.6769148796337103,138
Bipolar disorder,Multiple sclerosis,pearson,-0.413138422104632,4.7545933849680545e-07,138
Bipolar disorder,Multiple sclerosis,spearman,-0.3514129350280486,2.376567451496341e-05,138
Bipolar disorder,Parkinson disease,pearson,-0.1377412095131003,0.10716585116516984,138
Bipolar disorder,Parkinson disease,spearman,-0.09494074052088065,0.26800843464141133,138
Bipolar disorder,Schizophrenia,pearson,0.5242620965142324,4.129930413018393e-11,138
Bipolar disorder,Schizophrenia,spearman,0.5050012671551112,2.678596088126582e-10,138
Epilepsy,Epilepsy,pearson,0.9999999999999998,0.0,138
Epilepsy,Epilepsy,spearman,0.9999999999999998,0.0,138
Epilepsy,Major depressive disorder,pearson,-0.23865614914744043,0.0048184646332301365,138
Epilepsy,Major depressive disorder,spearman,-0.2389991529467635,0.004756191156974689,138
Epilepsy,Migraine,pearson,7.312553136656954e-05,0.99932082737858,138
Epilepsy,Migraine,spearman,0.007276438449367449,0.9324979844574641,138
Epilepsy,Multiple sclerosis,pearson,0.2619201294382543,0.0019141490100643478,138
Epilepsy,Multiple sclerosis,spearman,0.2628262353620753,0.0018433955718647015,138
Epilepsy,Parkinson disease,pearson,-0.0784512235088037,0.36039058920856215,138
Epilepsy,Parkinson disease,spearman,-0.10421494603745754,0.22382190438290864,138
Epilepsy,Schizophrenia,pearson,-0.08996793626915686,0.29399387430569296,138
Epilepsy,Schizophrenia,spearman,-0.09672617348837527,0.2590715384774256,138
Major depressive disorder,Major depressive disorder,pearson,0.9999999999999999,0.0,138
Major depressive disorder,Major depressive disorder,spearman,0.9999999999999998,0.0,138
Major depressive disorder,Migraine,pearson,0.24594362875463563,0.003640935670580169,138
Major depressive disorder,Migraine,spearman,0.24209968743507257,0.004225142915644421,138
Major depressive disorder,Multiple sclerosis,pearson,0.07402039815219999,0.3882375929167386,138
Major depressive disorder,Multiple sclerosis,spearman,0.029998470281217104,0.7268825410183385,138
