region_id,mean_expression,median_expression,std_expression,min_expression,max_expression
1,0.5082755397624098,0.5068036196703697,0.09187374746938765,0.1407178680609067,0.8660586613266733
2,0.4994266529855587,0.4957757232305138,0.1029826720542623,0.17288194153885883,0.878244324716856
3,0.4959806266742151,0.49393195797065037,0.06196441658162213,0.14100822273856797,0.8377585346652805
4,0.5048970824522292,0.5043879238029999,0.06723250897391718,0.13570503582378157,0.8117804494967725
5,0.5099738718872334,0.5064066236520206,0.0697776506965914,0.11206672242188108,0.8533353734295924
6,0.5069045160292385,0.5063016667582001,0.08113526506137961,0.208457449774266,0.8489051240929208
7,0.4841983971752206,0.4802005719165816,0.11820400345274007,0.13983617874917822,0.8963702589279098
8,0.4856590245974288,0.4808081029251,0.11537046203753575,0.08801743255163158,0.895742143528536
9,0.5193270962897804,0.5191694037580736,0.08513034309227395,0.1361790864764232,0.8673183589566044
10,0.519042031821059,0.5217963949829169,0.12759372855246717,0.05935483214861704,0.9144183216507311
11,0.5166814722366423,0.5143251526848669,0.06997013495965852,0.1582689960432987,0.8664655141537733
12,0.512346474003923,0.5115044188108648,0.11611389198635429,0.10543086723477538,0.8766655432410397
13,0.5101828362838312,0.5102948814533702,0.06357776035431832,0.24605054750685776,0.7721214053371429
14,0.5343548826983684,0.5355135014744546,0.08389335601060835,0.22166030555687544,0.8954201805542009
15,0.48168711362221445,0.47593231045442247,0.10776989899975237,0.060049972095532055,0.9326066010557779
16,0.5039271572247179,0.5042881055256369,0.10842981931636525,0.07425227059599143,0.9257762347714102
17,0.4913813356484696,0.4921304209699836,0.16569780045419658,0.024125642981477513,0.9829805861564371
18,0.4946022814114237,0.5038153698250561,0.19712790923998344,0.001876724496144397,0.9969009712739397
19,0.5146167381855707,0.5139708232147487,0.0681952254454701,0.11782554110132687,0.8407351981940124
20,0.5106228287122915,0.5117190918763495,0.11341527811661649,0.09685518486207612,0.8785977963117184
21,0.5083155033784227,0.5066538623713179,0.11333707513946424,0.14632385055164057,0.8955055948314704
22,0.5270113235705248,0.5324760696102546,0.12317854269557073,0.025181677213101137,0.8843545356705707
23,0.5043742957022026,0.5030341130574438,0.09787185277416745,0.15376315829232656,0.8623148218728774
24,0.5287908175139966,0.526469896162449,0.09257184915096328,0.10594740118169864,0.8606130217107861
25,0.5067944461710846,0.5027230159542395,0.09930194232503749,0.1541523564730414,0.900207893437162
26,0.5214927817253648,0.5206237192230003,0.10355512871199456,0.1046142928824659,0.9059643558891058
27,0.517416288584036,0.5181649148254484,0.08438698373957837,0.018330323223390534,0.8182708463411483
28,0.5114617432601015,0.5136724009261519,0.11823096933095383,0.034399737047933275,0.8965863821789655
29,0.4942876474537246,0.4927153762118712,0.11593593736885673,0.10168814449053355,0.9374100980498353
30,0.5236935315279229,0.5264138938883771,0.1035208015100653,0.12147934527463133,0.8662744973385836
31,0.4916776500435488,0.4922617899705062,0.10395813717041295,0.0898341317616247,0.8591837892003396
32,0.5263602725082696,0.5277238427823858,0.1384946325969356,0.062081095457579956,1.0
33,0.5128151030999136,0.5047763509532934,0.08688905223569464,0.2259951775015888,0.8987813242518595
34,0.507212494353335,0.5023118605409311,0.09255555923995824,0.21480680737888536,0.864264239126199
37,0.5025349354130675,0.49993939925880204,0.06594280449206111,0.20982089583115002,0.8224497936020428
38,0.4934304927718202,0.491920221579439,0.06606372955384333,0.19166644570206864,0.8137578240365166
39,0.5073800128877959,0.5041989599192882,0.09275191482137277,0.14764131887251655,0.8871365064096046
41,0.4974033363162168,0.4946201991835171,0.10412185040383333,0.18012833203598486,0.8190896210105422
42,0.4991696230647163,0.49749689752385745,0.10779617410002847,0.18774878155584843,0.8843072655843435
43,0.5067482076379316,0.5111308713667223,0.16034293773349365,0.030958355563187878,0.9609063419633163
44,0.5164131034602163,0.5130875276189133,0.1410290855865799,0.0440886680127808,0.9696578215259386
45,0.5108409483591407,0.5059831712974359,0.1021726829224626,0.12911034995037204,0.9235183019704545
46,0.45767203228288467,0.4403878580296561,0.17072105858798006,0.03740069972377397,0.9986326314935914
