region_id,region_name,atlas_label,hemisphere,structure,broad_system,anatomical_hierarchy,centroid_mni_x,centroid_mni_y,centroid_mni_z,total_assigned_samples,donors_with_samples,retained_in_main_matrix,coverage_status
42,Hippocampus R,Hippocampus_R,R,subcortex/brainstem,hippocampal formation,brain/subcortex/brainstem/hippocampal formation,28.945031712473572,-20.991543340380545,-11.577167019027485,43,2,True,retained
43,ParaHippocampal L,ParaHippocampal_L,L,cortex,hippocampal formation,brain/cortex/hippocampal formation,-21.492842535787318,-17.29243353783231,-21.918200408997954,25,6,True,retained
44,ParaHippocampal R,ParaHippocampal_R,R,cortex,hippocampal formation,brain/cortex/hippocampal formation,25.148409893992934,-16.300353356890454,-21.743816254416963,8,2,True,retained
45,Amygdala L,Amygdala_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-23.509090909090915,-1.9454545454545524,-18.454545454545453,28,5,True,retained
46,Amygdala R,Amygdala_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,27.056451612903224,-0.5725806451612954,-18.806451612903224,4,2,True,retained
47,Calcarine L,Calcarine_L,L,cortex,cortex,brain/cortex/cortex,-7.482728077945083,-79.82108060230291,5.103631532329501,33,6,True,retained
48,Calcarine R,Calcarine_R,R,cortex,cortex,brain/cortex/cortex,15.709833422890924,-74.44922084900591,8.019344438473937,6,2,True,retained
49,Cuneus L,Cuneus_L,L,cortex,cortex,brain/cortex/cortex,-6.264299802761343,-81.36226166995398,25.90401051939513,10,5,True,retained
50,Cuneus R,Cuneus_R,R,cortex,cortex,brain/cortex/cortex,13.18960674157303,-80.58988764044943,26.85252808988764,1,1,False,insufficient_coverage
51,Lingual L,Lingual_L,L,cortex,cortex,brain/cortex/cortex,-14.858233890214791,-68.86491646778043,-6.00763723150358,57,6,True,retained
52,Lingual R,Lingual_R,R,cortex,cortex,brain/cortex/cortex,16.077391304347827,-68.14173913043479,-5.215652173913043,12,2,True,retained
53,Occipital Sup L,Occipital_Sup_L,L,cortex,cortex,brain/cortex/cortex,-16.756954612005856,-85.61054172767203,26.853587115666173,13,4,True,retained
54,Occipital Sup R,Occipital_Sup_R,R,cortex,cortex,brain/cortex/cortex,23.963198867657468,-82.206652512385,29.26539278131635,2,1,False,insufficient_coverage
55,Occipital Mid L,Occipital_Mid_L,L,cortex,cortex,brain/cortex/cortex,-32.64869831546707,-81.98774885145482,14.802450229709038,41,6,True,retained
56,Occipital Mid R,Occipital_Mid_R,R,cortex,cortex,brain/cortex/cortex,37.127740705433744,-80.99332697807435,18.06768350810296,12,2,True,retained
57,Occipital Inf L,Occipital_Inf_L,L,cortex,cortex,brain/cortex/cortex,-36.48246546227418,-79.56854410201913,-9.164718384697132,15,6,True,retained
58,Occipital Inf R,Occipital_Inf_R,R,cortex,cortex,brain/cortex/cortex,37.870576339737106,-83.19110212335693,-8.99292214357937,4,2,True,retained
59,Fusiform L,Fusiform_L,L,cortex,cortex,brain/cortex/cortex,-31.38934603724556,-41.382416630576,-21.609354699003894,65,6,True,retained
60,Fusiform R,Fusiform_R,R,cortex,cortex,brain/cortex/cortex,33.659253375694995,-40.19857029388403,-21.533756949960285,33,2,True,retained
61,Postcentral L,Postcentral_L,L,cortex,cortex,brain/cortex/cortex,-42.90441932168551,-23.7754367934224,47.4568345323741,50,6,True,retained
62,Postcentral R,Postcentral_R,R,cortex,cortex,brain/cortex/cortex,41.15825268114047,-26.772691603452785,51.25398901386346,20,2,True,retained
63,Parietal Sup L,Parietal_Sup_L,L,cortex,cortex,brain/cortex/cortex,-23.713317191283295,-60.807748184019374,57.657142857142844,28,6,True,retained
64,Parietal Sup R,Parietal_Sup_R,R,cortex,cortex,brain/cortex/cortex,25.84248424842484,-60.42844284428443,60.713771377137704,3,2,True,retained
65,Parietal Inf L,Parietal_Inf_L,L,cortex,cortex,brain/cortex/cortex,-43.10666121781773,-47.01920719248059,45.42296689824275,37,6,True,retained
66,Parietal Inf R,Parietal_Inf_R,R,cortex,cortex,brain/cortex/cortex,46.291449814126395,-47.58810408921933,48.19182156133829,4,2,True,retained
67,SupraMarginal L,SupraMarginal_L,L,cortex,cortex,brain/cortex/cortex,-56.14649681528661,-34.93630573248407,29.119426751592357,17,6,True,retained
68,SupraMarginal R,SupraMarginal_R,R,cortex,cortex,brain/cortex/cortex,57.262411347517734,-32.817629179331306,33.13475177304964,8,2,True,retained
