disease,disease_id,study_accession,trait,publication,pmid,publication_year,discovery_sample_size,replication_sample_size,ancestry,number_of_associations,summary_statistics_available,genome_build,candidate_eligible,primary_selected,selection_assessment,source,access_date
Epilepsy,epilepsy,GCST90077743,Epilepsy,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",34662886,2021,331754,0,European,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90077743,2026-09-14
Epilepsy,epilepsy,GCST90013712,Epilepsy,Large-scale genome-wide association study in a Japanese population identifies novel susceptibility loci across different diseases.,32514122,2020,212453,0,East Asian,0,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90013712,2026-09-14
Epilepsy,epilepsy,GCST90018620,Epilepsy,A cross-population atlas of genetic associations for 220 human phenotypes.,34594039,2021,178254,0,East Asian,1,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90018620,2026-09-14
Epilepsy,epilepsy,GCST90013748,Epilepsy,Large-scale genome-wide association study in a Japanese population identifies novel susceptibility loci across different diseases.,32514122,2020,109347,0,East Asian,0,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90013748,2026-09-14
Epilepsy,epilepsy,GCST90013783,Epilepsy,Large-scale genome-wide association study in a Japanese population identifies novel susceptibility loci across different diseases.,32514122,2020,103106,0,East Asian,0,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90013783,2026-09-14
Epilepsy,epilepsy,GCST90271608,Epilepsy,"GWAS meta-analysis of over 29,000 people with epilepsy identifies 26 risk loci and subtype-specific genetic architecture.",37653029,2023,82482,0,European; African unspecified; Asian unspecified,6,True,GRCh38.p14 (current GWAS Catalog mapping),True,True,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90271608,2026-09-14
Epilepsy,epilepsy,GCST90271611,Epilepsy,"GWAS meta-analysis of over 29,000 people with epilepsy identifies 26 risk loci and subtype-specific genetic architecture.",37653029,2023,69995,0,European,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90271611,2026-09-14
Epilepsy,epilepsy,GCST007343,Epilepsy,Genome-wide mega-analysis identifies 16 loci and highlights diverse biological mechanisms in the common epilepsies.,30531953,2018,44889,0,European; East Asian; African American or Afro-Caribbean,3,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST007343,2026-09-14
Epilepsy,epilepsy,GCST002547,Epilepsy,Genetic determinants of common epilepsies: a meta-analysis of genome-wide association studies.,25087078,2014,34853,0,European; African American or Afro-Caribbean; NR; East Asian,9,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST002547,2026-09-14
Migraine,migraine,GCST90429186,Migraine,New and sex-specific migraine susceptibility loci identified from a multiethnic genome-wide meta-analysis.,34294844,2021,889018,0,European,73,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90429186,2026-09-14
Migraine,migraine,GCST90102553,Migraine,"Genome-wide analysis of 102,084 migraine cases identifies 123 risk loci and subtype-specific risk alleles.",35115687,2022,873341,0,European,123,False,GRCh38.p14 (current GWAS Catalog mapping),True,True,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90102553,2026-09-14
Migraine,migraine,GCST90000016,Migraine,New and sex-specific migraine susceptibility loci identified from a multiethnic genome-wide meta-analysis.,34294844,2021,554569,0,European; East Asian; Hispanic or Latin American; African American or Afro-Caribbean; African unspecified; South Asian; Other admixed ancestry,22,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90000016,2026-09-14
Migraine,migraine,GCST90271641,Migraine,Transcriptome-wide association study identifies novel candidate susceptibility genes for migraine.,37415806,2023,513266,0,European,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90271641,2026-09-14
Migraine,migraine,GCST90038646,Migraine,Common genetic associations between age-related diseases.,33959723,2021,484598,0,NR,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90038646,2026-09-14
Migraine,migraine,GCST90468142,Migraine,A scalable variational inference approach for increased mixed-model association power.,39789286,2025,394626,0,European,8,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90468142,2026-09-14
Migraine,migraine,GCST003720,Migraine,"Meta-analysis of 375,000 individuals identifies 38 susceptibility loci for migraine.",27322543,2016,375752,0,European,44,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST003720,2026-09-14
Migraine,migraine,GCST90671940,Migraine,"Genome-wide analysis of 102,084 migraine cases identifies 123 risk loci and subtype-specific risk alleles.",35115687,2022,341050,0,European,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90671940,2026-09-14
Migraine,migraine,GCST90077745,Migraine,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",34662886,2021,331754,0,European,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90077745,2026-09-14
Migraine,migraine,GCST90429187,Migraine,New and sex-specific migraine susceptibility loci identified from a multiethnic genome-wide meta-analysis.,34294844,2021,302262,0,European; East Asian; Hispanic or Latin American; African American or Afro-Caribbean; African unspecified; South Asian; Other admixed ancestry,19,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90429187,2026-09-14
Migraine,migraine,GCST003986,Migraine,Detection and interpretation of shared genetic influences on 42 human traits.,27182965,2016,283985,0,European,27,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST003986,2026-09-14
Migraine,migraine,GCST90429188,Migraine,New and sex-specific migraine susceptibility loci identified from a multiethnic genome-wide meta-analysis.,34294844,2021,252347,0,European; East Asian; Hispanic or Latin American; African American or Afro-Caribbean; African unspecified; South Asian; Other admixed ancestry,1,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90429188,2026-09-14
Multiple sclerosis,multiple_sclerosis,GCST90480014,Multiple sclerosis,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,39024449,2024,632013,0,African American or Afro-Caribbean; European; Hispanic or Latin American,10,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90480014,2026-09-14
Multiple sclerosis,multiple_sclerosis,GCST90475833,Multiple sclerosis,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,39024449,2024,450483,0,European,1,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90475833,2026-09-14
Multiple sclerosis,multiple_sclerosis,GCST90479725,Multiple sclerosis,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,39024449,2024,371173,0,African American or Afro-Caribbean; European,2,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90479725,2026-09-14
Multiple sclerosis,multiple_sclerosis,GCST90558092,Multiple sclerosis,The phenotypic and genetic association between endometriosis and immunological diseases.,40262193,2025,360004,0,European,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90558092,2026-09-14
Multiple sclerosis,multiple_sclerosis,GCST90077739,Multiple sclerosis,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",34662886,2021,331754,0,European,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90077739,2026-09-14
Multiple sclerosis,multiple_sclerosis,GCST90014448,Multiple sclerosis,Investigating Pleiotropy Between Depression and Autoimmune Diseases Using the UK Biobank.,34278373,2021,325757,0,European,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90014448,2026-09-14
Multiple sclerosis,multiple_sclerosis,GCST90014449,Multiple sclerosis,Investigating Pleiotropy Between Depression and Autoimmune Diseases Using the UK Biobank.,34278373,2021,325228,0,European,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90014449,2026-09-14
Multiple sclerosis,multiple_sclerosis,GCST90476947,Multiple sclerosis,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,39024449,2024,315668,0,European,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90476947,2026-09-14
Multiple sclerosis,multiple_sclerosis,GCST90558093,Multiple sclerosis,The phenotypic and genetic association between endometriosis and immunological diseases.,40262193,2025,163717,0,European,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90558093,2026-09-14
Multiple sclerosis,multiple_sclerosis,GCST90477519,Multiple sclerosis,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,39024449,2024,121702,0,African American or Afro-Caribbean,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90477519,2026-09-14
Multiple sclerosis,multiple_sclerosis,GCST90481871,Multiple sclerosis,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,39024449,2024,59828,0,Hispanic or Latin American,0,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90481871,2026-09-14
Multiple sclerosis,multiple_sclerosis,GCST90481397,Multiple sclerosis,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,39024449,2024,55505,0,African American or Afro-Caribbean,0,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90481397,2026-09-14
Multiple sclerosis,multiple_sclerosis,GCST009597,Multiple sclerosis,Multiple sclerosis genomic map implicates peripheral immune cells and microglia in susceptibility.,31604244,2019,41505,74299,European; NR,333,False,GRCh38.p14 (current GWAS Catalog mapping),True,True,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST009597,2026-09-14
Tourette syndrome,tourette,GCST90295972,Tourette syndrome,Genome-wide Association Study points to novel locus for Gilles de la Tourette Syndrome.,36738982,2023,19698,0,European,4,False,GRCh38.p14 (current GWAS Catalog mapping),True,True,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90295972,2026-09-14
Tourette syndrome,tourette,GCST007277,Tourette syndrome,Interrogating the Genetic Determinants of Tourette's Syndrome and Other Tic Disorders Through Genome-Wide Association Studies.,30818990,2019,14307,6774,European,24,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST007277,2026-09-14
Tourette syndrome,tourette,GCST001635,Tourette syndrome,Genome-wide association study of Tourette's syndrome.,22889924,2012,6249,496,European; Hispanic or Latin American,7,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST001635,2026-09-14
Tourette syndrome,tourette,GCST009600,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","Genomic Relationships, Novel Loci, and Pleiotropic Mechanisms across Eight Psychiatric Disorders.",31835028,2019,727126,0,European,146,False,GRCh38.p14 (current GWAS Catalog mapping),False,False,phenotype is not the configured direct disease-risk trait,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST009600,2026-09-14
Tourette syndrome,tourette,GCST90043717,Psychogenic disorder (PheCode 303.3),A generalized linear mixed model association tool for biobank-scale data. ,34737426,2021,456348,0,European,0,True,GRCh38.p14 (current GWAS Catalog mapping),False,False,phenotype is not the configured direct disease-risk trait,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90043717,2026-09-14
Tourette syndrome,tourette,GCST90455650,Education attainment or tourette’s syndrome,Unraveling shared susceptibility loci and Mendelian genetic associations linking educational attainment with multiple neuropsychiatric disorders.,38250258,2024,308030,0,European,3,False,GRCh38.p14 (current GWAS Catalog mapping),False,False,phenotype is not the configured direct disease-risk trait,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90455650,2026-09-14
Tourette syndrome,tourette,GCST90016616,Major depressive disorder vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS)),Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.,33686288,2021,175575,0,NR,0,True,GRCh38.p14 (current GWAS Catalog mapping),False,False,phenotype is not the configured direct disease-risk trait,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90016616,2026-09-14
Tourette syndrome,tourette,GCST90016624,Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS)),Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.,33686288,2021,45494,0,NR,13,True,GRCh38.p14 (current GWAS Catalog mapping),False,False,phenotype is not the configured direct disease-risk trait,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90016624,2026-09-14
Tourette syndrome,tourette,GCST008907,Tourette syndrome or brain region volumes (pleiotropy),Concordance of genetic variation that increases risk for tourette syndrome and that influences its underlying neurocircuitry.,30902966,2019,44056,0,European,0,False,GRCh38.p14 (current GWAS Catalog mapping),False,False,phenotype is not the configured direct disease-risk trait,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST008907,2026-09-14
Tourette syndrome,tourette,GCST90016609,Bipolar disorder vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS)),Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.,33686288,2021,25171,0,NR,5,True,GRCh38.p14 (current GWAS Catalog mapping),False,False,phenotype is not the configured direct disease-risk trait,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90016609,2026-09-14
Tourette syndrome,tourette,GCST90016598,ADHD vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS)),Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.,33686288,2021,23918,0,NR,2,True,GRCh38.p14 (current GWAS Catalog mapping),False,False,phenotype is not the configured direct disease-risk trait,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90016598,2026-09-14
Tourette syndrome,tourette,GCST90016603,Autism spectrum disorder vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS)),Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.,33686288,2021,23200,0,NR,1,True,GRCh38.p14 (current GWAS Catalog mapping),False,False,phenotype is not the configured direct disease-risk trait,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90016603,2026-09-14
