gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
DUSP13B,ENSG00000079393,0.8990307450294495,0.8990307450294495,0.8990307450294495,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
NLGN1,ENSG00000169760,0.8939487934112549,0.8939487934112549,0.8939487934112549,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
TLR4,ENSG00000136869,0.8863559365272522,0.8863559365272522,0.8863559365272522,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
CDH6,ENSG00000113361,0.8857727646827698,0.8857727646827698,0.8857727646827698,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
CNTLN,ENSG00000044459,0.8850148320198059,0.8850148320198059,0.8850148320198059,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
ENTREP2,ENSG00000104059,0.8796886205673218,0.8796886205673218,0.8796886205673218,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
CELF4,ENSG00000101489,0.8775359392166138,0.8775359392166138,0.8775359392166138,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
TMEM106B,ENSG00000106460,0.867728590965271,0.867728590965271,0.867728590965271,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
CTTNBP2,ENSG00000077063,0.8669798374176025,0.8669798374176025,0.8669798374176025,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
PTCH1,ENSG00000185920,0.8484094738960266,0.8484094738960266,0.8484094738960266,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
ZMYND8,ENSG00000101040,0.843111515045166,0.843111515045166,0.843111515045166,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
OTX2,ENSG00000165588,0.8407080173492432,0.8407080173492432,0.8407080173492432,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
STK24,ENSG00000102572,0.8397132754325867,0.8397132754325867,0.8397132754325867,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
DENND1B,ENSG00000213047,0.8358911275863647,0.8358911275863647,0.8358911275863647,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
LRFN5,ENSG00000165379,0.8312016725540161,0.8312016725540161,0.8312016725540161,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.655303)
