gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
TP53INP1,ENSG00000164938,0.6076828837394714,0.6076828837394714,0.6076828837394714,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
FERMT2,ENSG00000073712,0.6017059087753296,0.6017059087753296,0.6017059087753296,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ABCA7,ENSG00000064687,0.5911163091659546,0.5911163091659546,0.5370949730277061,4,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CLNK,ENSG00000109684,0.5826851725578308,0.5826851725578308,0.5826851725578308,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RASA1,ENSG00000145715,0.5826851725578308,0.5826851725578308,0.5826851725578308,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
USP6NL,ENSG00000148429,0.5754073858261108,0.5754073858261108,0.5754073858261108,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CD2AP,ENSG00000198087,0.559490442276001,0.559490442276001,0.559490442276001,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SEC61G,ENSG00000132432,0.5553086400032043,0.5553086400032043,0.5553086400032043,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ECHDC3,ENSG00000134463,0.5546099543571472,0.5546099543571472,0.5546099543571472,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IDUA,ENSG00000127415,0.529586136341095,0.529586136341095,0.529586136341095,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
EPHA1,ENSG00000146904,0.5232210755348206,0.5232210755348206,0.5232210755348206,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
