gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
ADD3,ENSG00000148700,0.34758099913597107,0.34758099913597107,0.34758099913597107,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
STK4,ENSG00000101109,0.3322393298149109,0.3322393298149109,0.3322393298149109,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PACS1,ENSG00000175115,0.29675421118736267,0.29675421118736267,0.29675421118736267,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
FURIN,ENSG00000140564,0.29312703013420105,0.29312703013420105,0.29312703013420105,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PLEC,ENSG00000178209,0.29061028361320496,0.29061028361320496,0.29061028361320496,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
HOMER2,ENSG00000103942,0.28783872723579407,0.28783872723579407,0.28783872723579407,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
HDAC5,ENSG00000108840,0.2803179919719696,0.2803179919719696,0.2803179919719696,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CPNE7,ENSG00000178773,0.2740086615085602,0.2740086615085602,0.2740086615085602,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
OSBPL2,ENSG00000130703,0.2635103762149811,0.2635103762149811,0.2635103762149811,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PCID2,ENSG00000126226,0.24199903011322021,0.24199903011322021,0.24199903011322021,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PPP1R14B,ENSG00000173457,0.2268764078617096,0.2268764078617096,0.2268764078617096,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
FADS2,ENSG00000134824,0.22541290521621704,0.22541290521621704,0.22541290521621704,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZSCAN2,ENSG00000176371,0.20265650749206543,0.20265650749206543,0.20265650749206543,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
UQCC5,ENSG00000168273,0.19764727354049683,0.19764727354049683,0.19764727354049683,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
DOCK2,ENSG00000134516,0.18607480823993683,0.18607480823993683,0.18607480823993683,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PBRM1,ENSG00000163939,0.17842797935009003,0.17842797935009003,0.17842797935009003,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
NT5DC2,ENSG00000168268,0.1773030161857605,0.1773030161857605,0.1773030161857605,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
DNAH11,ENSG00000105877,0.17633706331253052,0.17633706331253052,0.17633706331253052,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IL2,ENSG00000109471,0.17335262894630432,0.17335262894630432,0.17335262894630432,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RPS6KA2,ENSG00000071242,0.16724979877471924,0.16724979877471924,0.16724979877471924,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RPL13,ENSG00000167526,0.1656353771686554,0.1656353771686554,0.1656353771686554,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ASB16,ENSG00000161664,0.1651468425989151,0.1651468425989151,0.1651468425989151,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CDK1,ENSG00000170312,0.16481314599514008,0.16481314599514008,0.16481314599514008,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
NUDT1,ENSG00000106268,0.16404026746749878,0.16404026746749878,0.16404026746749878,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CTTN,ENSG00000085733,0.1485631912946701,0.1485631912946701,0.1485631912946701,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
WFDC12,ENSG00000168703,0.13074523210525513,0.13074523210525513,0.13074523210525513,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
NEK4,ENSG00000114904,0.10096286982297897,0.10096286982297897,0.10096286982297897,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
WDR73,ENSG00000177082,0.09835807234048843,0.09835807234048843,0.09835807234048843,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PI3,ENSG00000124102,0.09750629961490631,0.09750629961490631,0.09750629961490631,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
STAB1,ENSG00000010327,0.09657164663076401,0.09657164663076401,0.09657164663076401,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
DCP1B,ENSG00000151065,0.0946427583694458,0.0946427583694458,0.0946427583694458,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TM6SF1,ENSG00000136404,0.09393089264631271,0.09393089264631271,0.09393089264631271,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TNKS,ENSG00000173273,0.09377636760473251,0.09377636760473251,0.09377636760473251,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ADAD1,ENSG00000164113,0.09231031686067581,0.09231031686067581,0.09231031686067581,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MYRF,ENSG00000124920,0.08984804898500443,0.08984804898500443,0.08984804898500443,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
LRRC57,ENSG00000180979,0.08786991983652115,0.08786991983652115,0.08786991983652115,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
C15orf40,ENSG00000169609,0.08240869641304016,0.08240869641304016,0.08240869641304016,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
HDGFL3,ENSG00000166503,0.08224302530288696,0.08224302530288696,0.08224302530288696,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZNF592,ENSG00000166716,0.08219266682863235,0.08219266682863235,0.08219266682863235,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
KCNS1,ENSG00000124134,0.0724516436457634,0.0724516436457634,0.0724516436457634,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MAFK,ENSG00000198517,0.07164796441793442,0.07164796441793442,0.07164796441793442,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CTSF,ENSG00000174080,0.07135041803121567,0.07135041803121567,0.07135041803121567,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RASGRF2,ENSG00000113319,0.07006505131721497,0.07006505131721497,0.07006505131721497,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
VEGFB,ENSG00000173511,0.06961808353662491,0.06961808353662491,0.06961808353662491,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
LRTM2,ENSG00000166159,0.06711745262145996,0.06711745262145996,0.06711745262145996,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TRANK1,ENSG00000168016,0.06664052605628967,0.06664052605628967,0.06664052605628967,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ALPK3,ENSG00000136383,0.06456708908081055,0.06456708908081055,0.06456708908081055,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TMEM184A,ENSG00000164855,0.06366375088691711,0.06366375088691711,0.06366375088691711,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CKMT2,ENSG00000131730,0.06364042311906815,0.06364042311906815,0.06364042311906815,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MRM2,ENSG00000122687,0.06160019338130951,0.06160019338130951,0.06160019338130951,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RHOBTB1,ENSG00000072422,0.06148757413029671,0.06148757413029671,0.06148757413029671,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CHST12,ENSG00000136213,0.06135963276028633,0.06135963276028633,0.06135963276028633,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PSMG3,ENSG00000157778,0.05960090458393097,0.05960090458393097,0.05960090458393097,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ACOT12,ENSG00000172497,0.05871261656284332,0.05871261656284332,0.05871261656284332,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ITIH3,ENSG00000162267,0.058475062251091,0.058475062251091,0.058475062251091,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SNX8,ENSG00000106266,0.05764704570174217,0.05764704570174217,0.05764704570174217,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
BTBD1,ENSG00000064726,0.056858405470848083,0.056858405470848083,0.056858405470848083,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ELFN1,ENSG00000225968,0.05613141506910324,0.05613141506910324,0.05613141506910324,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
GLYCTK,ENSG00000168237,0.05545363947749138,0.05545363947749138,0.05545363947749138,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SPCS1,ENSG00000114902,0.055374421179294586,0.055374421179294586,0.055374421179294586,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IL21,ENSG00000138684,0.05440792813897133,0.05440792813897133,0.05440792813897133,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PARP10,ENSG00000178685,0.05418143793940544,0.05418143793940544,0.05418143793940544,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SMNDC1,ENSG00000119953,0.053833577781915665,0.053833577781915665,0.053833577781915665,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ADRM1,ENSG00000130706,0.051689449697732925,0.051689449697732925,0.051689449697732925,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
YIF1A,ENSG00000174851,0.0514049157500267,0.0514049157500267,0.0514049157500267,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ITIH1,ENSG00000055957,0.05078624188899994,0.05078624188899994,0.05078624188899994,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TMEM258,ENSG00000134825,0.050740841776132584,0.050740841776132584,0.050740841776132584,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PPFIA1,ENSG00000131626,0.05036604031920433,0.05036604031920433,0.05036604031920433,1,GCST012465,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
