gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
MSI2,ENSG00000153944,0.5853544473648071,0.5853544473648071,0.5853544473648071,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DGKI,ENSG00000157680,0.5849469900131226,0.5849469900131226,0.5849469900131226,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
OLA1,ENSG00000138430,0.5830192565917969,0.5830192565917969,0.5830192565917969,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
EPN2,ENSG00000072134,0.5753996968269348,0.5753996968269348,0.5753996968269348,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
B3GAT1,ENSG00000109956,0.5745345950126648,0.5745345950126648,0.5745345950126648,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NEGR1,ENSG00000172260,0.5743367075920105,0.5743367075920105,0.5743367075920105,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ADGRV1,ENSG00000164199,0.5739058256149292,0.5739058256149292,0.5739058256149292,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
POU3F3,ENSG00000198914,0.57098788022995,0.57098788022995,0.57098788022995,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MAGI2,ENSG00000187391,0.5691199898719788,0.5691199898719788,0.5691199898719788,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NCAM2,ENSG00000154654,0.5691199898719788,0.5691199898719788,0.5691199898719788,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DCC,ENSG00000187323,0.5672487020492554,0.5672487020492554,0.5672487020492554,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DUSP26,ENSG00000133878,0.5635323524475098,0.5635323524475098,0.5635323524475098,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PSD3,ENSG00000156011,0.5632832050323486,0.5632832050323486,0.5632832050323486,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PRKD1,ENSG00000184304,0.5596657395362854,0.5596657395362854,0.5596657395362854,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MYO19,ENSG00000278259,0.5579939484596252,0.5579939484596252,0.5579939484596252,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
GNE,ENSG00000159921,0.5526891946792603,0.5526891946792603,0.5526891946792603,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
RORA,ENSG00000069667,0.5515580177307129,0.5515580177307129,0.5515580177307129,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PTPRF,ENSG00000142949,0.5491538047790527,0.5491538047790527,0.5491538047790527,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
TXNL1,ENSG00000091164,0.5416427850723267,0.5416427850723267,0.5416427850723267,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NDFIP2,ENSG00000102471,0.538622260093689,0.538622260093689,0.538622260093689,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MTRFR,ENSG00000130921,0.537582278251648,0.537582278251648,0.537582278251648,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
TYW5,ENSG00000162971,0.5281511545181274,0.5281511545181274,0.5281511545181274,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FAM120A,ENSG00000048828,0.5279238224029541,0.5279238224029541,0.5279238224029541,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
TBC1D5,ENSG00000131374,0.5265341401100159,0.5265341401100159,0.29912105947732925,2,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
GSDME,ENSG00000105928,0.5260826945304871,0.5260826945304871,0.5260826945304871,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ANKRD1,ENSG00000148677,0.512936532497406,0.512936532497406,0.512936532497406,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DCP1A,ENSG00000272886,0.4967392683029175,0.4967392683029175,0.4967392683029175,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
GCFC2,ENSG00000005436,0.49628111720085144,0.49628111720085144,0.49628111720085144,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
LRGUK,ENSG00000155530,0.4940166473388672,0.4940166473388672,0.4940166473388672,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
RERE,ENSG00000142599,0.49380922317504883,0.49380922317504883,0.49380922317504883,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PODXL,ENSG00000128567,0.49258753657341003,0.49258753657341003,0.49258753657341003,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
KCNG2,ENSG00000178342,0.48762047290802,0.48762047290802,0.48762047290802,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SATB2,ENSG00000119042,0.48725762963294983,0.48725762963294983,0.48725762963294983,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
GK3,ENSG00000229894,0.47744423151016235,0.47744423151016235,0.47744423151016235,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
GALNT4,ENSG00000257594,0.4756627678871155,0.4756627678871155,0.4756627678871155,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
RBM26,ENSG00000139746,0.4669554531574249,0.4669554531574249,0.4669554531574249,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
