gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
DRD2,ENSG00000149295,0.7296015620231628,0.7296015620231628,0.7296015620231628,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RSRC1,ENSG00000174891,0.7241352200508118,0.7241352200508118,0.7241352200508118,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CIRSR,ENSG00000138433,0.7187181115150452,0.7187181115150452,0.7187181115150452,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ASIC2,ENSG00000108684,0.7178345918655396,0.7178345918655396,0.7178345918655396,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RBFOX1,ENSG00000078328,0.7112240791320801,0.7112240791320801,0.7112240791320801,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PIK3C3,ENSG00000078142,0.7110368609428406,0.7110368609428406,0.7110368609428406,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
INSYN1,ENSG00000205363,0.7107722759246826,0.7107722759246826,0.7107722759246826,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TANK,ENSG00000136560,0.693726122379303,0.693726122379303,0.693726122379303,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SHISA9,ENSG00000237515,0.6778145432472229,0.6778145432472229,0.6778145432472229,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CNOT4,ENSG00000080802,0.67092365026474,0.67092365026474,0.67092365026474,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
NEGR1,ENSG00000172260,0.6676949858665466,0.6676949858665466,0.6676949858665466,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PUM3,ENSG00000080608,0.6634960174560547,0.6634960174560547,0.6634960174560547,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
FURIN,ENSG00000140564,0.6580111980438232,0.6580111980438232,0.6580111980438232,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CCSER1,ENSG00000184305,0.6544001698493958,0.6544001698493958,0.6544001698493958,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
AGBL4,ENSG00000186094,0.6467607021331787,0.6467607021331787,0.6467607021331787,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MSRA,ENSG00000175806,0.6413601040840149,0.6413601040840149,0.6413601040840149,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
FADS2,ENSG00000134824,0.6387500762939453,0.6387500762939453,0.6387500762939453,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
POU5F2,ENSG00000248483,0.632629930973053,0.632629930973053,0.632629930973053,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CYP7B1,ENSG00000172817,0.6242265105247498,0.6242265105247498,0.6242265105247498,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
METTL9,ENSG00000197006,0.6105037331581116,0.6105037331581116,0.6105037331581116,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
KIF2A,ENSG00000068796,0.607966423034668,0.607966423034668,0.607966423034668,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CHMP3,ENSG00000115561,0.5994307398796082,0.5994307398796082,0.5994307398796082,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
NAA11,ENSG00000156269,0.5987160205841064,0.5987160205841064,0.5987160205841064,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
DCDC1,ENSG00000170959,0.5925165414810181,0.5925165414810181,0.32632673904299736,2,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
VRK2,ENSG00000028116,0.5909906029701233,0.5909906029701233,0.5909906029701233,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PCDH9,ENSG00000184226,0.5863081812858582,0.5863081812858582,0.5863081812858582,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TENM2,ENSG00000145934,0.5863081812858582,0.5863081812858582,0.5863081812858582,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
AREL1,ENSG00000119682,0.5853790044784546,0.5853790044784546,0.5853790044784546,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
DCC,ENSG00000187323,0.5849469900131226,0.5849469900131226,0.5849469900131226,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PIPOX,ENSG00000179761,0.579557478427887,0.579557478427887,0.579557478427887,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ADARB1,ENSG00000197381,0.5447770357131958,0.5447770357131958,0.5447770357131958,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MAD1L1,ENSG00000002822,0.5405494570732117,0.5405494570732117,0.5405494570732117,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
BEND5,ENSG00000162373,0.5338270664215088,0.5338270664215088,0.5338270664215088,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RERE,ENSG00000142599,0.5246760249137878,0.5246760249137878,0.5246760249137878,1,GCST90020227,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
